model,n,log_likelihood,AIC,BIC,marginal_R2,conditional_R2,expertise_beta,expertise_p
M0_controls,95,-115.96605090337763,241.93210180675527,254.701486264758,0.21085414012236647,0.4809942560652867,,
M1_expertise,95,-109.21732201566161,230.43464403132322,245.75790538092645,0.26897423528768216,0.5704601934037745,0.3872936004519774,0.00011442723136844539
M2_microdynamics,95,-104.78674175651415,227.5734835130283,250.55837553743316,0.33364897436109825,0.5759165980177199,0.3360810785456945,0.001116358571810415
