dataset,video_id,conversation_id,level,level_label,episode_id,n_episode_utterances,dyad_ss,dyad_df,speaker_ss,speaker_df,episode_dispersion_dyad,episode_dispersion_speaker
wired,laser,wired_laser_16,4,expert,0,11.0,7.853671034127818,10.0,7.300380667511234,9.0,0.8862094015596889,0.9006405539954596
wired,laser,wired_laser_16,4,expert,1,100.0,81.09168404381995,99.0,79.11129049282745,98.0,0.9050458107933239,0.8984754121584748
wired,machine,wired_machine_12,0,child,0,17.0,12.862310922317826,16.0,11.94465305067566,15.0,0.8966016019642526,0.8923621481093745
wired,machine,wired_machine_12,0,child,1,32.0,25.57117665512756,31.0,24.479031989990517,30.0,0.9082272107212145,0.9033093229894641
wired,machine,wired_machine_12,0,child,2,20.0,15.136072052374882,19.0,13.71616499060757,18.0,0.8925443244890561,0.8729313639369736
wired,machine,wired_machine_13,1,teenager,0,13.0,9.669609070903249,12.0,9.07780270556972,11.0,0.8976640551501459,0.9084353534596885
wired,machine,wired_machine_13,1,teenager,1,52.0,43.215236724374414,51.0,42.07897100095506,50.0,0.9205202783376751,0.9173763786031888
wired,machine,wired_machine_14,2,undergraduate,0,18.0,13.280300417796997,17.0,12.792414219488226,16.0,0.883851877988248,0.8941621154567074
wired,machine,wired_machine_14,2,undergraduate,1,39.0,30.94624390463468,38.0,29.954820206855935,37.0,0.9024271935151608,0.8997720463097476
wired,machine,wired_machine_15,3,graduate,0,28.0,21.660273839714186,27.0,20.83207295667625,26.0,0.8956742512955582,0.8951165149056176
wired,machine,wired_machine_16,4,expert,0,62.0,50.97854475457102,61.0,50.013046251631195,60.0,0.9141738611640515,0.9129900168460331
wired,memory,wired_memory_12,0,child,0,15.0,11.116476503915397,14.0,10.16907607420633,13.0,0.8910858746461853,0.8844414175584467
wired,memory,wired_memory_12,0,child,1,26.0,17.622915623742273,25.0,16.70499282332961,24.0,0.8395931305993939,0.8342909370469835
wired,memory,wired_memory_13,1,teenager,0,34.0,26.66721668396424,33.0,25.29657395579632,32.0,0.8989424204428467,0.88911075582215
wired,memory,wired_memory_14,2,undergraduate,0,49.0,34.751111334407156,48.0,33.98057280628478,47.0,0.8508710161554938,0.850288722006835
wired,memory,wired_memory_15,3,graduate,0,43.0,32.737290667825086,42.0,31.355959519935016,41.0,0.8828699233833277,0.8745167239602796
wired,memory,wired_memory_16,4,expert,0,81.0,62.56147356127752,80.0,61.208021758613924,79.0,0.8843180533699225,0.880218771415422
wired,moravec,wired_moravec_12,0,child,0,50.0,39.215958207528814,49.0,37.02452398095698,48.0,0.8946092318463239,0.8782620620311857
wired,moravec,wired_moravec_13,1,teenager,0,24.0,19.743093414565344,23.0,18.64270116929611,22.0,0.9264962848552967,0.9205408777970034
wired,moravec,wired_moravec_13,1,teenager,1,34.0,23.95491118139482,33.0,23.09484660560335,32.0,0.852001408118676,0.8495374955969305
wired,moravec,wired_moravec_14,2,undergraduate,0,49.0,36.474979767546195,48.0,35.6985989695313,47.0,0.8717198012113061,0.8715185935630965
wired,moravec,wired_moravec_15,3,graduate,0,37.0,28.278204538497175,36.0,27.310728821777168,35.0,0.8862875840408245,0.8833496124214139
