dataset,video_id,conversation_id,level,level_label,episode_id,turn_order,speaker_role,innovation_magnitude,directional_innovation_magnitude,directional_innovation_fraction,directional_persistence,within_episode_sdi
wired,talia,wired_Talia_12,0,child,0,4,partner,1.1925471467965454,1.180263172532574,0.989699380609011,0.3585972188708638,0.42323909120588354
wired,talia,wired_Talia_12,0,child,0,5,expert,1.1665000971202037,1.1618665578658927,0.9960278278015182,0.45380131416292635,0.5272565708414978
wired,talia,wired_Talia_12,0,child,0,6,partner,1.026603361521317,1.0128311904328648,0.9865847204425379,0.41223938055588394,0.4175289025517227
wired,talia,wired_Talia_12,0,child,0,7,expert,0.8347030771776702,0.8327702872252699,0.9976844580950471,0.47058238466283636,0.39188702763882266
wired,talia,wired_Talia_12,0,child,0,8,partner,1.1499513567941357,1.1241817814376889,0.9775907257248988,0.35577325255939096,0.39995380885009696
wired,talia,wired_Talia_12,0,child,0,9,expert,1.0502291344445571,1.0083925692092945,0.9601643452232457,0.38075813016897286,0.38395366912841755
wired,talia,wired_Talia_12,0,child,0,10,partner,1.1716275316696427,1.1223231066221473,0.9579180040450299,0.4006412588140622,0.44964894223320606
wired,talia,wired_Talia_12,0,child,0,11,expert,1.021401914102426,0.9981085420755702,0.9771947049381609,0.6490344087845703,0.6478067875088471
wired,talia,wired_Talia_13,1,teenager,0,4,expert,1.0657121281430317,1.0253294166290785,0.9621072985391647,0.6165858897179024,0.6322036506061782
wired,talia,wired_Talia_13,1,teenager,0,5,partner,1.3033880052449403,1.2391057795242506,0.9506806680259727,0.5301742462806457,0.6569419727212615
wired,talia,wired_Talia_13,1,teenager,0,6,expert,1.2297505166073053,1.211674651094131,0.9853011929899178,0.32425095288147743,0.39288666019960367
wired,talia,wired_Talia_13,1,teenager,0,7,partner,1.0799391320556337,1.052297636613443,0.9744045802002282,0.388923562752048,0.4092633459072602
wired,talia,wired_Talia_13,1,teenager,0,8,expert,1.0757199358170155,1.0368552989124893,0.9638710452307716,0.5977514300821012,0.6197817377131449
wired,talia,wired_Talia_13,1,teenager,0,9,partner,1.1945922488827077,1.1739994819971853,0.9827616771281034,0.43585065042928905,0.5116884378321216
wired,talia,wired_Talia_13,1,teenager,0,10,expert,1.1882489934120595,1.1714187028144796,0.9858360573483529,0.5121478182330831,0.599939532883864
wired,talia,wired_Talia_13,1,teenager,0,11,partner,1.2084785964639662,1.2061153187264624,0.9980444190361195,0.4436142057189777,0.5350498891223312
wired,talia,wired_Talia_13,1,teenager,0,12,expert,1.080109401647775,1.0754406532200502,0.9956775226457634,0.6370325628986822,0.6850907155662015
wired,talia,wired_Talia_13,1,teenager,0,13,partner,1.1245804043832714,1.1168405721506842,0.9931175821636115,0.2647688506784067,0.29570459467935084
wired,talia,wired_Talia_13,1,teenager,0,14,expert,0.9716248283276689,0.9180575922082888,0.9448683951268275,0.7170981384720748,0.658337390382719
