dataset,video_id,conversation_id,level,level_label,turn_order,speaker_role,innovation_magnitude,directional_innovation_magnitude,directional_innovation_fraction,directional_persistence,sdi,sustained_direction_variation,sustained_direction_precision
wired,talia,wired_Talia_12,0,child,4,partner,1.1927971589498365,1.1789943341464697,0.9884281877259772,0.35638545887416506,0.4201764367848303,0.8779567863510881,0.12204321364891191
wired,talia,wired_Talia_12,0,child,5,expert,1.1684798039750286,1.162103692158677,0.9945432417439689,0.4537077522620562,0.5272554540647498,0.9307947055824309,0.06920529441756906
wired,talia,wired_Talia_12,0,child,6,partner,1.023878144530736,1.0112788308288931,0.987694518366143,0.41086298620678086,0.415497040322061,0.9334725997697283,0.0665274002302717
wired,talia,wired_Talia_12,0,child,7,expert,0.8330839238090568,0.8319796467148532,0.9986744707662186,0.47092957682222936,0.39180382295213373,0.9458450828232698,0.054154917176730155
wired,talia,wired_Talia_12,0,child,8,partner,1.150969671974492,1.1237705340366535,0.9763685016198952,0.35391219283190023,0.3977160939407876,0.8311259545191607,0.16887404548083929
wired,talia,wired_Talia_12,0,child,9,expert,1.0539451040676495,1.0088939648720965,0.957254757365789,0.3814113047556079,0.3848035635019248,0.9042401402817436,0.0957598597182564
wired,talia,wired_Talia_13,1,teenager,4,expert,1.070214175406372,1.025884756623445,0.9585789276552487,0.6171522068064783,0.633127041479286,0.9640736064533957,0.03592639354660432
wired,talia,wired_Talia_13,1,teenager,5,partner,1.3002735441123159,1.2387881545878936,0.9527134964763506,0.5299608671139745,0.6565092445759204,0.8935713640823958,0.10642863591760421
wired,talia,wired_Talia_13,1,teenager,6,expert,1.2291997988137786,1.21275977390103,0.9866254249881912,0.3258938499265574,0.395230951752668,0.8936879532622337,0.10631204673776629
wired,talia,wired_Talia_13,1,teenager,7,partner,1.0817513714916633,1.0525393160642955,0.9729955919648529,0.3881846820160927,0.4085796397158542,0.930078258301777,0.06992174169822296
wired,talia,wired_Talia_13,1,teenager,8,expert,1.0765251350718483,1.036483383672369,0.9628046293617011,0.5983134102345813,0.620141907936493,0.9118933475946823,0.08810665240531768
wired,talia,wired_Talia_13,1,teenager,9,partner,1.1959141265016586,1.1723218705522558,0.980272617048687,0.4340861808219583,0.5088887234820829,0.9237320335776589,0.07626796642234113
wired,talia,wired_Talia_13,1,teenager,10,expert,1.1885718137192003,1.1723995786148729,0.9863935566041157,0.5125416528191687,0.6009036177877639,0.9510648569395366,0.048935143060463426
wired,talia,wired_Talia_13,1,teenager,11,partner,1.2066618557362376,1.2044892042793043,0.998199452939029,0.4432851446624801,0.5339321711633469,0.9126545967174738,0.08734540328252616
wired,talia,wired_Talia_13,1,teenager,12,expert,1.080773230205019,1.0754843227736133,0.995106367104043,0.6372724521915886,0.6853765316675505,0.831545730087543,0.16845426991245704
wired,talia,wired_Talia_13,1,teenager,13,partner,1.1258164927347754,1.116834779310734,0.9920220449043028,0.26252830924536735,0.29320074631887,0.8851071700534896,0.1148928299465104
wired,talia,wired_Talia_13,1,teenager,14,expert,0.9769793340074031,0.9189141680087036,0.9405666384349538,0.715744242560537,0.6577075251595357,0.8497978756415022,0.15020212435849778
wired,talia,wired_Talia_13,1,teenager,15,partner,1.2390042433293709,1.1806591430660913,0.9529096848712548,0.397647191200202,0.4694857920050686,0.9065740703621441,0.0934259296378559
wired,talia,wired_Talia_13,1,teenager,16,expert,1.060325244347428,1.0061594421578237,0.9489158609782139,0.47330987812370007,0.47622520294072956,0.9334062446590571,0.06659375534094292
wired,talia,wired_Talia_13,1,teenager,17,partner,1.1348266008994838,1.0511914514252725,0.9263013843622919,0.35017852456500265,0.36810467149544557,0.8932811657079722,0.10671883429202778
wired,talia,wired_Talia_13,1,teenager,18,expert,1.0457364321487488,0.9410594597802255,0.899901190059587,0.4625797888333335,0.4353150861847476,0.9313947228633767,0.06860527713662334
wired,talia,wired_Talia_13,1,teenager,19,partner,1.1226769242087886,1.0640780140355155,0.9478042980036141,0.34970601241306176,0.3721144791847701,0.8653090699586647,0.13469093004133526
wired,talia,wired_Talia_13,1,teenager,20,expert,1.1368125223881276,1.0682635000342786,0.9397006797472759,0.661431052015386,0.7065826506573112,0.8684178003030482,0.13158219969695184
wired,talia,wired_Talia_13,1,teenager,21,partner,1.198797805360004,1.1902582036426637,0.9928765287355787,0.43541222436538246,0.5182529720171966,0.9109578032027503,0.08904219679724967
wired,talia,wired_Talia_13,1,teenager,22,expert,1.137256165903522,1.0924410299044671,0.9605936311064877,0.4686745027407805,0.5119992564641023,0.8985404663887879,0.10145953361121207
wired,talia,wired_Talia_13,1,teenager,23,partner,1.0456142373174075,0.8581397889720583,0.8207040018629164,0.4321128501314202,0.3708132300238916,0.9516036713068913,0.048396328693108726
wired,talia,wired_Talia_13,1,teenager,24,expert,1.100532890238006,0.976761395216768,0.8875349422811359,0.5545627299678451,0.541675465858612,0.8991546765454704,0.10084532345452957
wired,talia,wired_Talia_13,1,teenager,25,partner,1.0149847007072528,0.9216963447123975,0.9080889042654937,0.40133494883544174,0.3699089553469637,0.9373324194479861,0.06266758055201394
wired,talia,wired_Talia_13,1,teenager,26,expert,1.1172976820762766,0.9916426505809016,0.8875366578558029,0.6024423922741081,0.5974075706969959,0.9287364932938904,0.07126350670610959
wired,talia,wired_Talia_13,1,teenager,27,partner,1.0650539960490555,1.0559527344753916,0.9914546477376569,0.22750236516244546,0.24023174459290336,0.8892117017327775,0.11078829826722247
wired,talia,wired_Talia_13,1,teenager,28,expert,0.9834302669385795,0.9125117262496965,0.9278865588400279,0.25087055302203143,0.2289223214033499,0.9185719388282942,0.08142806117170576
wired,talia,wired_Talia_13,1,teenager,29,partner,1.1647117985939726,1.1467538865345734,0.984581668974194,0.35262077185485396,0.4043692405973749,0.8869057371239095,0.11309426287609048
wired,talia,wired_Talia_13,1,teenager,30,expert,0.969018818301436,0.96342677517982,0.9942291697364429,0.5710580104632996,0.5501725774612607,0.8241739881205279,0.1758260118794721
wired,talia,wired_Talia_13,1,teenager,31,partner,0.9775097644956806,0.9762348816852837,0.9986957850880873,0.4293618387857353,0.4191580038871682,0.9517507457019372,0.048249254298062816
wired,talia,wired_Talia_13,1,teenager,32,expert,0.9439206699017415,0.9220229876230706,0.9768013531455697,0.3552312432385001,0.3275313721878195,0.9326211106309125,0.06737888936908754
