metric,align_lag_asymmetry_AminusB,expertise_gap_abs,expertise_gap_signed,influence_asymmetry_AminusB,n_utterances
centroid_dist_mean,0.19514360140919218,0.37829093103014666,-0.37829093103014666,-0.05757718322913632,-0.048737413688033804
centroid_dist_slope,-0.03991366908027842,-0.23841630499257999,0.23841630499257999,0.07852337188025131,0.02488149251033062
centroid_dist_std,-0.26462253548778886,-0.0036492307213342495,0.0036492307213342495,0.04078382970560944,-0.047327255027295394
containment_A_in_B,-0.19054713714301316,-0.28904611649664547,0.28904611649664547,0.13068097194462924,-0.06725585624818704
containment_B_in_A,-0.18774023308787266,0.08218228326813685,-0.08218228326813685,-0.10092627980074477,0.0170344768751002
cross_nn_A_to_B,0.20694427681350655,-0.059657113468602044,0.059657113468602044,-0.05878430002282395,0.0716522991031636
cross_nn_B_to_A,0.1926247260013896,-0.31229546337049485,0.31229546337049485,-0.0639795917880927,0.04969822954294278
entropy_A,-0.3258531284248742,-0.17325138110769261,0.17325138110769261,0.08531986290169782,0.006452946827395587
entropy_B,-0.16174507508799388,-0.19886284183790537,0.19886284183790537,0.21456228408456424,0.015277032057929536
entropy_slope_A,0.11993216660672015,0.05314697339861829,-0.05314697339861829,0.09772012627937868,-0.08786333782216854
entropy_slope_B,0.20189418165892392,0.18772845274330097,-0.18772845274330097,-0.3871292145742042,0.1034759206114604
entropy_total,-0.27116344853370195,-0.19455903009523484,0.19455903009523484,0.23142140831355018,0.01459998286095787
hausdorff_AB,0.2693959701877077,-0.18919837192344757,0.18919837192344757,-0.014572217512463211,0.05294799618221547
hull_overlap_ratio_min,-0.14134710840107262,-0.029895806203951356,0.029895806203951356,-0.2193717501105223,0.07279669860250985
mi_speaker_cluster,0.21373562131532123,0.18733620344300306,-0.18733620344300306,0.16042065962207083,-0.03198734888071706
mi_turn_clusters,0.038767422343543516,-0.1798648650316393,0.1798648650316393,0.20839795440755707,0.022580174099843114
nmi_speaker_cluster,0.2588467934142911,0.20478070145027205,-0.20478070145027205,0.09078087001306302,-0.01778658492659747
nmi_turn_clusters,0.07844880462272444,-0.1372765185609439,0.1372765185609439,0.10914542785339988,0.024626283058603836
turn_jump_mean,-0.12907803839152882,-0.08361683075499629,0.08361683075499629,0.046160716996484545,0.003243323072674827
