speaker_A,speaker_B,n_points,n_A,n_B,centroid_dist_mean,centroid_dist_std,centroid_dist_slope,cross_nn_A_to_B,cross_nn_B_to_A,hausdorff_AB,turn_jump_mean,turn_jump_std,turn_jump_A_to_B_mean,turn_jump_B_to_A_mean,k_clusters,mi_speaker_cluster,nmi_speaker_cluster,convo_id,source_csv,window,step,min_chars
Speaker 1 (Bettina Warburg),Speaker 2 (Child),15,9,6,0.8554817378520966,0.10753958653447472,-0.03653587102890015,0.9669249786270989,1.0268251399199169,1.2487245798110962,1.060054898262024,0.19403886795043945,1.1606868028640747,1.1204867601394652,3.0,0.3957527947852782,0.4580652856440157,wired_blockchain_12,/Users/yume/PycharmProjects/horizons_2/data/wired/wired_blockchain/wired_blockchain_12.csv,3,1,10
Speaker 1 (Bettina Warburg),Speaker 3 (Teen - Ian),28,20,8,0.7312131071090698,0.09612134502546583,-0.013004552859526416,1.0956380307674407,1.052530713379383,1.2458178997039795,0.9807130098342896,0.26323336362838745,1.1641974747180939,1.1711451709270477,5.0,0.13709920074709722,0.12766672538252516,wired_blockchain_13,/Users/yume/PycharmProjects/horizons_2/data/wired/wired_blockchain/wired_blockchain_13.csv,3,1,10
Speaker 1 (Bettina Warburg),Speaker 4 (College Student),19,18,1,,,,1.149360438187917,1.0141456127166748,1.2804312705993652,0.700043261051178,0.2051422894001007,1.1241358518600464,1.1946377754211426,4.0,0.07450720233370839,0.09903854429877065,wired_blockchain_14,/Users/yume/PycharmProjects/horizons_2/data/wired/wired_blockchain/wired_blockchain_14.csv,3,1,10
Speaker 5 (Grad Student),Speaker 1 (Bettina Warburg),32,17,15,0.625818591693352,0.1512073371466878,-0.01603841220804036,1.01978179286508,0.9731929699579874,1.2088934183120728,0.9571438431739807,0.2619788348674774,1.1020254438573664,1.1224630653858185,5.0,0.256718999393709,0.22908306910067944,wired_blockchain_15,/Users/yume/PycharmProjects/horizons_2/data/wired/wired_blockchain/wired_blockchain_15.csv,3,1,10
Speaker 6 (Expert),Speaker 1 (Bettina Warburg),65,42,23,0.620945463746281,0.12303248137191088,-0.0069277546929727984,1.0233437759535653,0.8933581761691881,1.2751628160476685,0.9040194153785706,0.2510685622692108,1.1339477181434632,1.1169680229255132,8.0,0.24935204283877271,0.1870895704803771,wired_blockchain_16,/Users/yume/PycharmProjects/horizons_2/data/wired/wired_blockchain/wired_blockchain_16.csv,3,1,10
