convo_id,speaker_A,speaker_B,n_trigrams,n_A,n_B,centroid_dist_mean,centroid_dist_std,centroid_dist_slope,cross_nn_A_to_B,cross_nn_B_to_A,hausdorff_AB,influence_A_toward_B,influence_B_toward_A,influence_asymmetry_AminusB,turn_jump_mean,turn_jump_std,turn_jump_A_to_B_mean,turn_jump_B_to_A_mean,hull_area_A,hull_area_B,hull_overlap_area,hull_overlap_ratio_min,containment_A_in_B,containment_B_in_A,k_clusters,entropy_total,entropy_A,entropy_B,mi_speaker_cluster,nmi_speaker_cluster,mi_turn_clusters,nmi_turn_clusters,entropy_slope_A,entropy_slope_B,align_eps,align_lag_A_to_B,align_lag_B_to_A,align_lag_asymmetry_AminusB,expertise_A,expertise_B,expertise_A_ord,expertise_B_ord,expertise_gap_signed,expertise_gap_abs
wired_laser_12,Speaker 1 (Donna Strickland),Speaker 2 (Harmoni - Child),478,439,39,0.3579791907,0.1068446026,-0.000648970852,1.003289612,0.6395020965,1.003289612,0.03725775651,0.2491889877,-0.2119312311,1.157337354,0.3636759504,1.221427788,1.09324692,0.6221959817,0.4275474078,0.436811563,1.021668136,0.8177676538,0.9487179487,12,3.435758659,3.42172568,3.172488681,0.02382223116,0.01788373921,0.9241962407,0.5421932223,0.001870411514,0.06930948236,1.229226255,122.2236504,6.297297297,115.9263531,,Child,,0,,
wired_laser_13,Speaker 1 (Donna Strickland),Speaker 3 (Eli Kaplan - Teenager),999,830,169,0.2676538718,0.1027599516,-0.000296669543,0.95059343,0.814546192,0.95059343,0.02474313925,0.1339993327,-0.1092561935,1.25679231,0.08451577305,1.302937238,1.206032889,0.63833108,0.4966942055,0.5023648006,1.011416673,0.9445783133,0.9940828402,12,3.449486304,3.434892731,3.354426027,0.0195509502,0.01374133364,1.130968561,0.5819957395,0.001111791374,0.01261008832,1.237899005,105.0846433,18.80263158,86.28201171,,Teen,,1,,
wired_laser_14,Speaker 1 (Donna Strickland),Speaker 4 (Caitlin - Student),847,711,136,0.287249259,0.08364654201,-0.0002378183308,0.9941713029,0.8579225554,0.9941713029,0.01635898113,0.1284748499,-0.1121158688,1.202419856,0.1914168595,1.236932639,1.159278877,0.7359711763,0.3635972476,0.372414413,1.024249813,0.8045007032,1.0,12,3.336904693,3.349361418,2.889672044,0.04252741046,0.03088887594,0.7828556007,0.5540286274,0.001394151012,0.01581419755,1.243937771,198.7227866,19.32,179.4027866,,College Student,,2,,
wired_laser_15,Speaker 1 (Donna Strickland),Speaker 5 (Aditya - Grad Student),616,417,199,0.2358911993,0.1328302922,-0.0005385836796,0.9693347595,0.888154324,0.9693347595,0.02990345312,0.1086760779,-0.07877262475,1.281786458,0.1226769445,1.254531397,1.312069859,0.5732740105,0.4748921289,0.421097969,0.8867234122,0.8537170264,0.9648241206,12,3.42871405,3.383751598,3.29425466,0.05120597901,0.03407199153,0.7564955177,0.4345120866,0.003162285839,0.008554208726,1.239512882,68.57907543,22.21052632,46.36854911,,Graduate Student,,3,,
wired_laser_16,Speaker 6 (Mike Campbell),Speaker 1 (Donna Strickland),966,615,351,0.1981515904,0.09417471933,-0.0002381299741,0.8913739184,0.8136548599,0.8913739184,0.03257091408,0.06996280612,-0.03739189204,1.246791387,0.240488213,1.289101371,1.201459262,0.6944923476,0.6502301607,0.6263383762,0.963256419,0.9756097561,0.9715099715,12,3.480401685,3.464786846,3.372177724,0.03414771405,0.02226235322,0.8056502486,0.3998724345,0.001246657017,0.003616845365,1.228802909,68.49914821,38.75294118,29.74620703,,Expert,,4,,
wired_moravec_12,Speaker 1 (Chelsea Finn),Speaker 2 (Child),369,322,47,0.384114707,0.1240353967,-0.001023564698,0.9518093328,0.6645497501,0.9518093328,0.04365445707,0.2374575302,-0.1938030731,1.247966941,0.1100594283,1.210699806,1.285234076,0.7454509448,0.2227554118,0.2202902172,0.9889331775,0.7453416149,0.9787234043,12,3.457539912,3.466242227,2.804011461,0.05243440887,0.03775053005,0.937651924,0.5243098376,0.004480945954,0.05118063468,1.237337179,50.17621145,10.93617021,39.24004124,,Child,,0,,
wired_moravec_13,Speaker 1 (Chelsea Finn),Speaker 3 (Teen),608,530,78,0.3407628372,0.1404042791,-0.0007126198415,1.007002704,0.7952974591,1.007002704,0.03006916865,0.1519653492,-0.1218961806,1.246955444,0.09365534659,1.224275659,1.272155205,0.6824578161,0.3774632515,0.3772623346,0.9994677181,0.7698113208,0.9615384615,12,3.393180795,3.350439824,3.072794805,0.0543149468,0.0397170345,0.8019190028,0.5042660705,0.001940798096,0.02104763628,1.230074574,68.94805195,16.53246753,52.41558442,,Teen,,1,,
wired_moravec_14,Speaker 1 (Chelsea Finn),Speaker 4 (College Student),707,541,166,0.2359227525,0.1364332795,-0.0005118320581,0.9263712018,0.8076423096,0.9263712018,0.04692532819,0.1160073972,-0.06908206901,1.300645273,0.08447914517,1.334778502,1.266512045,0.6983047205,0.5951284601,0.5968650171,1.002917953,0.9463955638,0.9819277108,12,3.415893324,3.390984846,3.358872957,0.02249136835,0.01544353766,0.7251565038,0.4362554196,0.002039643013,0.007384517663,1.234729672,69.10502283,23.71686747,45.38815536,,College Student,,2,,
wired_moravec_15,Speaker 5 (Grad Student),Speaker 1 (Chelsea Finn),707,355,352,0.2107753939,0.1393897113,-0.0005006284686,0.9012315687,0.8602940246,0.9012315687,0.06521358218,0.05845994673,0.006753635458,1.293617078,0.07048388647,1.291362934,1.295589453,0.4972317934,0.580896866,0.4896330003,0.9847178053,0.9802816901,0.9318181818,12,3.413375794,3.231519395,3.500897476,0.03309007189,0.02163379025,0.6211568901,0.3995240134,0.00251958755,0.00388957527,1.232322482,39.23209169,53.05014749,-13.8180558,Graduate Student,Graduate Student,3.0,3,0.0,0.0
wired_moravec_16,Speaker 6 (Expert),Speaker 1 (Chelsea Finn),865,547,318,0.2267711629,0.1858566176,-0.0004666883961,0.9446260184,0.86926706,0.9446260184,0.04007411799,0.06469100214,-0.02461688416,1.284244554,0.074478446,1.268890689,1.299598419,0.4515954139,0.5591952535,0.4505052869,0.997586054,0.987202925,0.8899371069,12,3.43016245,3.370080183,3.36692053,0.04245100191,0.02797163084,0.6648306744,0.4221499166,0.001152367587,0.003976543501,1.232921964,76.58088235,45.50416667,31.07671569,Expert,Expert,4.0,4,0.0,0.0
wired_neuro_12,Speaker 1 (Dr. Bobby Kasthuri),Speaker 2 (Daniel Dodson),88,79,9,0.5166112567,0.1598262063,-0.005369304692,1.125597733,0.9544112519,1.125597733,0.06396184358,0.3291575743,-0.2651957307,1.197446338,0.1013902279,1.190389359,1.204503317,0.549818409,0.06935254769,0.06434736942,0.9278299294,0.1265822785,1.0,9,3.07302673,3.070170585,2.281036113,0.05792151261,0.04708859385,1.242453325,0.8864650394,0.02163072413,0.3142712124,1.216518494,10.34782609,6.666666667,3.68115942,,Child,,0,,
wired_neuro_13,Speaker 1 (Dr. Bobby Kasthuri),Speaker 3 (Jabez Griggs),116,98,18,0.6406431709,0.1808210893,-0.005160867998,1.144852388,1.034131505,1.144852388,0.123203252,0.3214505353,-0.1982472833,1.335032138,0.04158411791,1.39374436,1.305676027,0.6656789776,0.1176730184,0.1201062151,1.020677609,0.2142857143,0.8333333333,11,3.371225953,3.20511066,2.308270835,0.2116040359,0.152874699,1.098612289,1.0,0.01966434827,0.1474679541,1.237224694,34.44897959,10.0,24.44897959,,Teen,,1,,
wired_neuro_14,Speaker 1 (Dr. Bobby Kasthuri),Speaker 4 (Elena Dowling),228,149,79,0.3492701687,0.1927757956,-0.002460452181,0.9792936292,0.9212507092,0.9792936292,0.05751524154,0.1784725219,-0.1209572803,1.293063795,0.03529195717,1.269106489,1.3170211,0.5530618239,0.5268903373,0.5168081435,0.9808647207,0.8456375839,0.9620253165,12,3.389031725,3.437190807,3.088252274,0.05042303251,0.03367883673,1.011404265,0.7216162598,0.01179236617,0.03188547479,1.244733223,31.05504587,25.94871795,5.106327923,,College Student,,2,,
wired_neuro_15,Speaker 1 (Dr. Bobby Kasthuri),Speaker 5 (Mala Ananth),218,112,106,0.3761093919,0.1311593022,-0.001735176598,1.031872533,1.045254399,1.045254399,0.1331804349,0.09258956904,0.04059086583,1.314310091,0.05433457672,1.33924177,1.289378412,0.658740562,0.5854794537,0.5452289315,0.931252033,0.75,0.9339622642,12,3.469335677,3.39797319,3.215088156,0.1111033402,0.07173676427,1.560710409,0.9310809437,0.01333611514,0.01432466691,1.249210644,38.19417476,22.03333333,16.16084142,,Graduate Student,,3,,
wired_neuro_16,Speaker 1 (Dr. Bobby Kasthuri),Speaker 6 (Russell Hanson),407,211,196,0.235642805,0.1426219757,-0.0009608209727,0.934335847,0.9206827248,0.934335847,0.0776298698,0.09447322293,-0.01684335313,1.285550019,0.05427093999,1.288506756,1.282593282,0.4812554292,0.5352316266,0.4591213708,0.9540076702,0.9620853081,0.9234693878,12,3.442286931,3.251110626,3.500704754,0.04919864541,0.0319629529,0.7507202252,0.4600877077,0.004987440015,0.006957032318,1.229496839,25.57788945,32.35828877,-6.780399323,,Expert,,4,,
wired_nuclear_12,Speaker 1 (Anne White),Speaker 2 (Amelia - Child),730,549,181,0.2683397471,0.1225988941,-0.0004478155543,0.9932028692,0.9170232073,0.9932028692,0.06893603065,0.10381065,-0.03487461933,1.25999003,0.06898247337,1.250893722,1.269086339,0.6411160372,0.4283230262,0.4290003757,1.001581399,0.8196721311,1.0,12,3.307630471,3.399960486,2.682008607,0.05939072971,0.04163765727,0.8004862518,0.5241625,0.0021680903,0.01145730619,1.234007696,73.03378378,38.70165746,34.33212633,,Child,,0,,
wired_nuclear_13,Speaker 1 (Anne White),Speaker 3 (High School Student),712,636,76,0.4019491531,0.2068850414,-0.0008988568364,1.062661616,0.8844527107,1.062661616,0.02315192811,0.1382961084,-0.1151441803,1.312360571,0.04772938483,1.304716344,1.319240376,0.700410825,0.3280283655,0.3342552986,1.018982911,0.7531446541,0.9736842105,12,3.423044439,3.438284337,2.790361481,0.03737477799,0.02755925144,0.8449736915,0.4769841026,0.001725976803,0.01628302001,1.243433145,99.98865784,16.55263158,83.43602627,,Teen,,1,,
wired_nuclear_14,Speaker 1 (Anne White),Speaker 4 (Undergrad Student),717,583,134,0.2501868475,0.108782122,-0.0003586760458,0.9650187518,0.845814462,0.9650187518,0.04209845707,0.09697543582,-0.05487697875,1.273992576,0.1020910804,1.269786645,1.278198507,0.6108628852,0.4313926465,0.4364305808,1.011678303,0.8439108062,0.9850746269,12,3.446660754,3.470251652,3.076596005,0.0346430352,0.02413539275,1.06095815,0.5797173578,0.00205466184,0.01111022949,1.245963609,105.8039216,18.5,87.30392157,,College Student,,2,,
wired_nuclear_15,Speaker 1 (Anne White),Speaker 5 (Graduate Student),889,771,118,0.2642537475,0.09947101328,-0.0003002138329,1.038721662,0.8672064362,1.038721662,0.04518042776,0.1162924015,-0.07111197373,1.334621455,0.04123356419,1.311572685,1.357670225,0.6835527791,0.2867986785,0.2823515869,0.9844940302,0.7652399481,0.9830508475,12,3.419388545,3.434318299,3.048237969,0.02517233555,0.01822966382,1.198849313,0.7279919782,0.001158811768,0.01379792794,1.246345253,118.3435226,19.65765766,98.6858649,,Graduate Student,,3,,
wired_nuclear_16,Speaker 6 (Steve - Expert/Physicist),Speaker 1 (Talia Gershon),427,248,179,0.2641771488,0.1480502632,-0.0009988350552,0.9880274713,0.9671019347,0.9880274713,0.07482504199,0.1215670822,-0.04674204018,1.303445449,0.07218017149,1.307986841,1.299552828,0.498534859,0.5389471641,0.4815803415,0.9659913098,0.9838709677,0.8994413408,12,3.472261168,3.454762467,3.280547146,0.06275090315,0.04065729004,1.49856908,0.786651979,0.003962765792,0.007850580932,1.247978244,36.61650485,25.95428571,10.66221914,Expert,Expert,4.0,4,0.0,0.0
wired_sensing_12,Speaker 1 (Sekhar Ramanathan),Speaker 2 (Child),383,287,96,0.3417580115,0.1797120827,-0.001439580604,0.9845585372,0.856001615,0.9845585372,0.04091293487,0.161323971,-0.1204110361,1.268937114,0.09883674455,1.251102144,1.286772084,0.7017759947,0.3035697811,0.3055077084,1.006383795,0.7317073171,1.0,12,3.457125986,3.362797225,3.254890015,0.08413143186,0.05685808143,0.850941691,0.5754429196,0.006392650527,0.02345223044,1.228866019,31.51336898,19.57291667,11.94045232,,Child,,0,,
wired_sensing_13,Speaker 1 (Sekhar Ramanathan),Speaker 3 (Teen),691,574,117,0.243856466,0.1198120562,-0.0004822266957,0.9585297774,0.7784499179,0.9585297774,0.03055121757,0.1547326156,-0.124181398,1.271602013,0.1700167717,1.24978861,1.29509337,0.6777446099,0.652161183,0.6353918353,0.9742864984,0.9651567944,0.9401709402,12,3.462100932,3.461913067,3.378852339,0.009878520702,0.006921241716,1.103435685,0.5136339308,0.001204279944,0.01503264387,1.25215621,54.35931559,10.22413793,44.13517766,,Teen,,1,,
wired_sensing_14,Speaker 1 (Sekhar Ramanathan),Speaker 4 (College Student),646,523,123,0.2337937166,0.1317410658,-0.0004909575585,0.9286819529,0.7328135201,0.9286819529,0.04229551601,0.1066636734,-0.06436815738,1.214249114,0.2780289218,1.325818302,1.102679925,0.647600788,0.5019937118,0.501967117,0.9999470217,0.8814531549,0.9756097561,12,3.503635168,3.500670194,3.257630786,0.03413076065,0.02341459345,0.86166505,0.4374289961,0.00207121835,0.008567091804,1.233892839,62.14583333,14.56097561,47.58485772,,College Student,,2,,
wired_sensing_15,Speaker 1 (Sekhar Ramanathan),Speaker 5 (Grad Student),765,392,373,0.2153262562,0.1323989499,-0.0004415297323,0.8693919608,0.8693792326,0.8693919608,0.0700453486,0.06155891972,0.008486428877,1.292574479,0.07542814943,1.290875733,1.294273225,0.6054405158,0.614945307,0.5775832089,0.9539883669,0.943877551,0.9463806971,12,3.395858997,3.345254527,3.4013196,0.01612826405,0.01058747442,1.062737568,0.545878508,0.001576445738,0.003338474796,1.253668909,56.66180758,48.49061662,8.171190958,,Graduate Student,,3,,
wired_sensing_16,Speaker 6 (Expert),Speaker 1 (Sekhar Ramanathan),826,553,273,0.2074606347,0.1352114104,-0.0003982812421,0.9464372377,0.8718734717,0.9464372377,0.05636664211,0.08683700593,-0.03047036382,1.300197072,0.06915075333,1.264116359,1.336277784,0.6297840931,0.5150822985,0.5149558127,0.9997544358,0.9294755877,0.9853479853,12,3.356655953,3.301006478,3.370117868,0.02274047836,0.01535898868,1.066403559,0.5959122991,0.00208659119,0.005227005392,1.254313583,87.68123862,31.60795455,56.07328407,Expert,Expert,4.0,4,0.0,0.0
wired_sleep_12,Speaker 1 (Aric Prather),Speaker 2 (Christopher),799,729,70,0.303537054,0.1077604023,-0.0003611703845,1.024133089,0.8550950776,1.024133089,0.02414459331,0.1369991671,-0.1128545738,1.162750524,0.2648036264,1.184430996,1.139099099,0.5973121353,0.4292893335,0.4264246255,0.9933268596,0.8189300412,0.9857142857,12,3.470008736,3.47160354,2.998857661,0.02760266782,0.02042978388,0.8226408345,0.4633299965,0.001731806941,0.02625949977,1.232312817,122.1474719,7.081632653,115.0658393,,Child,,0,,
