convo_id,speaker_A,speaker_B,n_utterances,n_A,n_B,centroid_dist_mean,centroid_dist_std,centroid_dist_slope,cross_nn_A_to_B,cross_nn_B_to_A,hausdorff_AB,influence_A_toward_B,influence_B_toward_A,influence_asymmetry_AminusB,turn_jump_mean,turn_jump_std,turn_jump_A_to_B_mean,turn_jump_B_to_A_mean,hull_area_A,hull_area_B,hull_overlap_area,hull_overlap_ratio_min,containment_A_in_B,containment_B_in_A,k_clusters,entropy_total,entropy_A,entropy_B,mi_speaker_cluster,nmi_speaker_cluster,mi_turn_clusters,nmi_turn_clusters,entropy_slope_A,entropy_slope_B,align_eps,align_lag_A_to_B,align_lag_B_to_A,align_lag_asymmetry_AminusB
wired_sleep_14,Speaker 1 (Aric Prather),Speaker 4 (College Student),29,18,11,0.5369777602,0.2015827856,-0.0176468917,0.9727655507,0.9791885501,0.9791885501,0.05720336339,0.2855557273,-0.2283523639,1.135545971,0.2100529254,1.086132371,1.189900932,0.7219301792,0.594899732,0.518503441,0.8715812315,0.5,0.4545454545,5,2.250752013,1.96938942,1.980825936,0.1920188236,0.1726921609,0.8014324464,0.5157606755,0.09613644173,0.1982169436,1.198872697,3,2,1
wired_sleep_15,Speaker 1 (Aric Prather),Speaker 5 (Mave),30,19,11,0.5083075555,0.2381581405,-0.01961550856,0.8859201257,0.854131523,0.8859201257,0.04643618224,0.3540876343,-0.3076514521,1.042520993,0.2272398452,0.9148889661,1.17015302,0.5758913062,0.5409974322,0.4533092174,0.8379138059,0.5263157895,0.4545454545,5,2.063458299,2.009541986,1.858555212,0.07574582739,0.07257300585,0.4828303159,0.3673568276,0.07017908913,0.1416245219,1.114421575,4.117647059,6.142857143,-2.025210084
wired_sleep_16,Speaker 1 (Aric Prather),Speaker 6 (Yue),21,13,8,0.5471853193,0.2135412859,-0.03180769471,0.8837708983,0.8465348317,0.8837708983,0.3043223785,0.1304764361,0.1738459424,0.9988574498,0.2271435376,0.9546713438,1.043043556,0.783140673,0.4950858891,0.5044967935,1.01900863,0.4615384615,0.875,5,2.004747638,1.88109476,1.905639062,0.07922857152,0.07714137239,0.8465072669,0.5756132295,0.1052302386,0.246828061,0.9412284521,1.2,2.5,-1.3
wired_laser_12,Speaker 1 (Donna Strickland),Speaker 2 (Harmoni - Child),73,55,18,0.5825950751,0.1488827881,-0.00492672576,0.9744559612,0.656386798,0.9744559612,0.07842288045,0.07337535467,0.005047525778,1.082117433,0.3636201495,1.138501871,1.025732995,0.5123206825,0.5069356092,0.4073129018,0.8034805495,0.6181818182,0.5555555556,9,2.755511099,2.66001689,2.46132014,0.1001513996,0.08114299724,0.7806504401,0.4290175048,0.02321211902,0.0981359986,1.247117173,8.051282051,4.470588235,3.580693816
wired_laser_13,Speaker 1 (Donna Strickland),Speaker 3 (Eli Kaplan - Teenager),76,56,20,0.4916709075,0.2392291674,-0.009724118487,0.988711221,0.9285088519,0.988711221,0.095658082,0.2978083296,-0.2021502476,1.195655919,0.1572376497,1.209399799,1.180766716,0.7106595414,0.5814613431,0.5483981732,0.9431378022,0.7678571429,0.85,9,3.004231092,2.857135935,2.595461844,0.1496898193,0.1126034108,0.795358531,0.4441553202,0.05216472408,0.1440134709,1.197436379,9.755555556,7.4375,2.318055556
wired_laser_14,Speaker 1 (Donna Strickland),Speaker 4 (Caitlin - Student),64,50,14,0.5266874682,0.1443644895,-0.003299666893,1.078633109,0.9922420206,1.078633109,-0.01396562555,0.339095492,-0.3530611175,1.207856287,0.1653193979,1.180704034,1.239533915,0.6923904599,0.3426685318,0.3520253424,1.027305719,0.38,0.9285714286,8,2.881204246,2.691483485,2.502736172,0.1601234006,0.126960146,0.8848792264,0.5293621237,0.03470826744,0.1626109749,1.278602912,13.53191489,2.555555556,10.97635934
wired_laser_15,Speaker 1 (Donna Strickland),Speaker 5 (Aditya - Grad Student),72,49,23,0.375490408,0.1769592706,-0.006575924597,1.067190054,1.023228929,1.067190054,0.1162907813,0.2026511082,-0.08636032685,1.142213524,0.1787515013,1.101754152,1.186351022,0.647512074,0.4133415954,0.3402486515,0.8231657671,0.4693877551,0.8695652174,8,2.854776928,2.729992063,2.425098369,0.1540044535,0.1182271202,0.8973924146,0.4761912471,0.04499639225,0.05764168188,1.244806366,8.722222222,3.235294118,5.486928105
wired_laser_16,Speaker 6 (Mike Campbell),Speaker 1 (Donna Strickland),188,117,71,0.3063011016,0.1445899958,-0.001828730248,0.9861916995,0.9495332625,0.9861916995,0.06350444642,0.1170904818,-0.05358603541,1.228893787,0.2545661128,1.22448109,1.233527119,0.6388688079,0.6644321825,0.6153717517,0.9632208431,0.9572649573,0.9014084507,12,3.321651631,3.25554652,3.120436967,0.081188695,0.05475917405,0.8692168419,0.4107921132,0.01331272675,0.02285664197,1.267416986,16.69026549,9.206349206,7.48391628
wired_crispr_12,Speaker 1 (Neville Sanjana),Speaker 2 (Tegan - Child),24,16,8,0.7175926781,0.182905127,-0.02440627516,1.11542791,1.071043853,1.11542791,0.2657689194,0.2726483962,-0.006879476784,1.231114546,0.1663046169,1.206784886,1.260310137,0.5892927564,0.2448454825,0.1621303514,0.6621741588,0.3125,0.375,5,2.182931647,2.257856064,1.405639062,0.144970289,0.1348807324,0.9164648855,0.6242353751,0.1652790459,0.1592604196,1.256951269,6.8,3.833333333,2.966666667
wired_crispr_13,Speaker 1 (Neville Sanjana),Speaker 3 (Bella - Teenager),36,23,13,0.6840810422,0.2514332196,-0.02188121814,1.07256314,1.080487752,1.080487752,0.2002214978,0.2661016487,-0.06588015086,1.207465007,0.1368691648,1.232242446,1.182687568,0.6204909362,0.1919935506,0.1402100211,0.7302850575,0.1304347826,0.5384615385,6,2.429780476,2.226652329,2.133937566,0.1640044995,0.1402796781,0.5867070453,0.4492339764,0.08698939348,0.180824764,1.264755631,5.666666667,8.416666667,-2.75
wired_crispr_14,Speaker 1 (Neville Sanjana),Speaker 4 (Christopher - Student),33,17,16,0.5866133873,0.22657327,-0.02230899743,1.043718413,1.01719595,1.043718413,0.2513908255,0.1786422786,0.07274854691,1.170311873,0.211661574,1.118860118,1.23033892,0.5901134382,0.3814348063,0.317446164,0.8322422569,0.3529411765,0.4375,6,2.520630104,2.25690899,2.227217001,0.1927761736,0.1580226074,1.164543452,0.6831010784,0.1419886502,0.1384364219,1.238001258,2.363636364,4.416666667,-2.053030303
wired_crispr_15,Speaker 5 (Lauren Schiff),Speaker 1 (Neville Sanjana),41,22,19,0.470645755,0.1861764606,-0.01378791529,1.054258234,1.04099175,1.054258234,0.2365508944,0.1734403785,0.06311051589,1.249140753,0.1301620272,1.242816976,1.254199774,0.4755145826,0.5664629642,0.3987343083,0.8385322405,0.5,0.7368421053,6,2.56171809,2.572623664,2.439268146,0.03527656468,0.0286090128,0.9445795819,0.6322970796,0.08122461813,0.09815256894,1.238194864,6,4.882352941,1.117647059
wired_crispr_16,Speaker 6 (Matthew Canver),Speaker 1 (Neville Sanjana),136,72,64,0.3200529819,0.1834004853,-0.00356970958,0.9815065356,0.9530235402,0.9815065356,0.09907352508,0.1395755465,-0.04050202144,1.233005847,0.1713368637,1.173704627,1.292307067,0.5894654268,0.5993987787,0.5436609082,0.9222948174,0.7083333333,0.875,12,3.449712144,3.361635808,3.258937396,0.09454874169,0.06134401429,1.394742719,0.6092687136,0.02261512517,0.02341292273,1.206592596,13.13636364,8.215686275,4.920677362
wired_neuro_12,Speaker 1 (Dr. Bobby Kasthuri),Speaker 2 (Daniel Dodson),36,30,6,0.4910934741,0.1693405593,-0.01185640927,1.108628436,0.9026276656,1.108628436,0.126101569,0.3695160053,-0.2434144363,1.277933533,0.0663430951,1.301689411,1.254177655,0.5994552301,0.1222532118,0.1248984352,1.021637251,0.2,1,6,2.50863438,2.498929564,1.918295834,0.07380430482,0.06741922991,0.5493061443,0.469278726,0.04685853308,0.3211133606,1.215708985,5,3.5,1.5
wired_neuro_13,Speaker 1 (Dr. Bobby Kasthuri),Speaker 3 (Jabez Griggs),27,19,8,0.6912129834,0.176615292,-0.02050720621,1.184190243,1.168106483,1.184190243,0.2194492661,0.3609343158,-0.1414850497,1.271821567,0.1427172686,1.074185869,1.370639417,0.559778962,0.1962248246,0.1508437052,0.7687289596,0.1052631579,0.75,5,2.095126853,1.812945276,1.905639062,0.176556198,0.1714200508,0,0,0.07688579452,0.3049102602,1.258266208,7.083333333,5.714285714,1.369047619
wired_neuro_14,Speaker 1 (Dr. Bobby Kasthuri),Speaker 4 (Elena Dowling),35,23,12,0.5535527174,0.2066904627,-0.01762000586,1.070201281,1.04851515,1.070201281,0.1809617879,0.3503076896,-0.1693459017,1.299146367,0.1038374709,1.326524685,1.271768049,0.5743057597,0.4146696682,0.3947021281,0.9518471167,0.4347826087,0.6666666667,6,2.434013796,2.33379987,2.459147917,0.03967397874,0.03405430002,1.011404265,0.7216162598,0.06015419836,0.2310065293,1.23700068,6.6,6.444444444,0.1555555556
wired_neuro_15,Speaker 5 (Mala Ananth),Speaker 1 (Dr. Bobby Kasthuri),55,31,24,0.5596786447,0.226698645,-0.01236032016,1.132572867,1.122042059,1.132572867,0.133880813,0.2499674127,-0.1160865997,1.281018923,0.07940320238,1.273177958,1.288859889,0.452325325,0.5551208001,0.3556487938,0.7862677017,0.4838709677,0.625,7,2.60667744,2.497584119,2.266150648,0.1456180728,0.1168760765,0.9956732067,0.6707863518,0.05950040201,0.08317153643,1.276150395,9.961538462,8,1.961538462
wired_neuro_16,Speaker 1 (Dr. Bobby Kasthuri),Speaker 6 (Russell Hanson),84,43,41,0.3477160835,0.1559647401,-0.005422087254,1.101609615,1.078851322,1.101609615,0.158044611,0.1930431547,-0.03499854371,1.309588645,0.05249380949,1.308073036,1.311104254,0.4410620178,0.5779532008,0.4294873403,0.9737572563,0.9534883721,0.7804878049,9,2.973804866,2.989732198,2.809710922,0.04986514382,0.03621093771,0.9955521325,0.528404946,0.03101091044,0.0410930725,1.265689408,8.282051282,12.30555556,-4.023504274
