convo_id,speaker_A,speaker_B,n_utterances,n_A,n_B,centroid_dist_mean,centroid_dist_std,centroid_dist_slope,cross_nn_A_to_B,cross_nn_B_to_A,hausdorff_AB,influence_A_toward_B,influence_B_toward_A,influence_asymmetry_AminusB,turn_jump_mean,turn_jump_std,turn_jump_A_to_B_mean,turn_jump_B_to_A_mean,hull_area_A,hull_area_B,hull_overlap_area,hull_overlap_ratio_min,containment_A_in_B,containment_B_in_A,k_clusters,entropy_total,entropy_A,entropy_B,mi_speaker_cluster,nmi_speaker_cluster,mi_turn_clusters,nmi_turn_clusters,entropy_slope_A,entropy_slope_B,align_eps,align_lag_A_to_B,align_lag_B_to_A,align_lag_asymmetry_AminusB
wired_astro_13,Speaker 1 (Janna Levin),Speaker 3 (teen),53.0,45.0,8.0,0.6096680333145145,0.1497775137004295,-0.0088093427049414,1.104011218443188,0.966930839898259,1.104011218443188,0.0770177917628114,0.3951636945865154,-0.318145902823704,1.2347586094495815,0.1416568458916422,1.2091073143225086,1.260409904576654,0.7065071923018114,0.1935073654032374,0.1895641414704883,0.9796223573995124,0.1555555555555555,0.875,7.0,2.637310006131789,2.601893043614474,1.75,0.113679320364951,0.1009412415290975,1.1930808571601248,0.6922553887094024,0.0471659418855647,0.1978211099977135,1.239949329639839,15.96551724137931,4.333333333333333,11.632183908045976
wired_astro_14,Speaker 1 (Janna Levin),Speaker 4 (college student),52.0,35.0,17.0,0.4382936897505129,0.1817581659718881,-0.0100068465909146,0.9149196824727636,0.9076824586248786,0.9149196824727636,0.1333659277709759,0.244949040438387,-0.111583112667411,1.102334034461699,0.2101830961624599,1.0978083511166088,1.1068597178067892,0.6069330750912163,0.4906573737704477,0.4913733892340626,1.0014592982840809,0.5428571428571428,0.7647058823529411,7.0,2.695230952380813,2.6520480339667474,2.5580510765444573,0.0512323747300222,0.0409831146294336,1.2184529743783472,0.6977702745601092,0.0316515367379353,0.1721998628982475,1.1109254039329135,8.090909090909092,2.769230769230769,5.3216783216783226
wired_astro_15,Speaker 1 (Janna Levin),Speaker 5 (grad student),67.0,37.0,30.0,0.370999129104428,0.2072313116802535,-0.0077807148748233,1.0071940536956605,0.9907212908417056,1.0071940536956605,0.1416370368133763,0.1950861967386423,-0.053449159925266,1.1694196723683308,0.1639924108535393,1.1554702886288628,1.1833690561077983,0.6266727416862548,0.5708263089663926,0.5295991719162336,0.9277763894155302,0.7297297297297297,0.8,8.0,2.8678800011753887,2.7490327591517234,2.666247897312731,0.1080721054618838,0.0807851948924479,0.9114447711437332,0.4862926694209727,0.0484939216683013,0.0594098782263244,1.1845665215575862,3.6,3.05,0.5500000000000003
wired_astro_16,Speaker 1 (Janna Levin),Speaker 6 (expert),42.0,23.0,19.0,0.4446676875759413,0.1939056924406577,-0.0143477641953686,0.9647389344471158,0.9574789141790816,0.9647389344471158,0.1852092706441306,0.2303859678128083,-0.0451766971686776,1.070782480849808,0.1629730810058338,1.0571917844660814,1.0866382932974892,0.5507361976966632,0.5262769373893786,0.4855789375816349,0.9226680918042351,0.6086956521739131,0.7368421052631579,6.0,2.4749525415173124,2.435909241665556,2.24928706865216,0.0855812300698563,0.0711957237055339,0.7641296547214522,0.4904865072397791,0.071070536770385,0.1163178368383863,1.0953659303450805,3.066666666666667,3.0714285714285716,-0.0047619047619047
wired_blockchain_12,Speaker 1 (Bettina Warburg),Speaker 2 (Child),20.0,13.0,7.0,0.5917039741498156,0.1979502992359756,-0.0309132671731601,1.0561512431404976,0.9397395970896067,1.0561512431404976,0.1731081487553503,0.3809229749739127,-0.2078148262185624,1.1775353485799571,0.2854253398376619,1.218967729444492,1.1361029677154224,0.5116785354691153,0.519249276195792,0.3235539656199815,0.6323383593242619,0.5384615384615384,0.1428571428571428,4.0,1.8016094970590275,1.738149333192866,1.8423709931771088,0.0187029012417275,0.0197264351185425,0.5623351446188081,0.5771596324111233,0.0915219683669407,0.2750239372073754,1.264681162160258,4.333333333333333,3.1666666666666665,1.1666666666666663
wired_blockchain_13,Speaker 1 (Bettina Warburg),Speaker 3 (Teen - Ian),32.0,21.0,11.0,0.5489290538341058,0.2093688303033089,-0.0180218269938424,1.1105085364011331,0.9700134267414272,1.1105085364011331,0.1876369358314842,0.2399437723653115,-0.0523068365338273,1.2496567453817888,0.1067314444288286,1.2630842386852306,1.2362292520783469,0.6148645995777163,0.4128551384042244,0.3755541038516418,0.9096510347509316,0.3333333333333333,0.7272727272727273,6.0,2.4905074211313076,2.1999793267164867,2.231270254607576,0.1939230606766824,0.1636633621037733,0.7678235671618701,0.4480833368754309,0.0647320158091079,0.1782179700002883,1.2436982028966033,5.357142857142857,5.636363636363637,-0.2792207792207799
wired_blockchain_14,Speaker 1 (Bettina Warburg),Speaker 4 (College Student),23.0,20.0,3.0,0.6877730631150609,0.1695858185965653,-0.0233043056626943,1.1190577661347645,1.0074678026970316,1.1190577661347645,0.1367567934295014,0.5039173153616545,-0.3671605219321531,1.196606021751558,0.170759608075656,1.088930438693403,1.3042816048097132,0.5906102561675615,0.2777882253699624,0.2667239365302793,0.960170058234299,0.15,0.6666666666666666,5.0,2.176858979924966,2.1588718484453606,1.584962500721156,0.0643551615938877,0.0678817530862347,1.0986122886681098,0.7601875334318686,0.0906781313453856,,1.1696424052115233,3.6,3.0,0.6000000000000001
wired_blockchain_15,Speaker 1 (Bettina Warburg),Speaker 5 (Grad Student),36.0,17.0,19.0,0.5257495667765368,0.2315073539579209,-0.0180415316476548,1.0196330620578626,1.0929452221642808,1.0929452221642808,0.1602864337163035,0.2043435933735017,-0.0440571596571981,1.217826382949142,0.1171133258359205,1.2525448232611465,1.1831079426371374,0.428221618483336,0.5822044682756573,0.320019190707189,0.7473214263227169,0.4705882352941176,0.4736842105263157,6.0,2.403708086845815,1.6589797521242051,2.439268146254097,0.2307552536098076,0.1957438558144222,0.4127256526394217,0.2966999745614875,0.0736869514641607,0.110381633887537,1.213354931276066,3.0,3.1538461538461537,-0.1538461538461537
wired_blockchain_16,Speaker 1 (Bettina Warburg),Speaker 6 (Expert),68.0,22.0,46.0,0.4343567946581099,0.1238697941930079,-0.004915733704872,0.9989990551442685,1.0747280764139182,1.0747280764139182,0.2218890318429703,0.0831329267126235,0.1387561051303468,1.1631262269961224,0.1816963975797676,1.1112701148380668,1.2149823391541776,0.472369685143743,0.581590271788227,0.4230603238943911,0.8956127736386238,0.5909090909090909,0.6304347826086957,8.0,2.7486964085405257,2.2953570516174424,2.7043552317872246,0.1224542348794714,0.0966202723318995,0.7180172162617425,0.5428401606913948,0.0608874495345166,0.0301715960076981,1.2148119753406648,5.25,10.47222222222222,-5.222222222222221
wired_crispr_12,Speaker 1 (Neville Sanjana),Speaker 2 (Tegan - Child),21.0,14.0,7.0,0.7359087187422508,0.1868657147747388,-0.0282053195925333,1.064249256162882,0.9451003397261266,1.064249256162882,0.2054114060997185,0.308560002707711,-0.1031485966079925,1.105071320302006,0.384290578545784,1.2061768421567962,0.9837446940762578,0.5037505055561261,0.2935355912714947,0.1517544530969996,0.5169882549494312,0.2142857142857142,0.4285714285714285,5.0,2.201078735588117,2.1820058147602133,1.448815635725185,0.1826232431010282,0.1689246618453386,0.790438125437663,0.5722245536031894,0.1874499567447691,0.2095848215022469,1.2675728927402197,4.857142857142857,1.5,3.3571428571428568
