type,comment_id,parent_id,author,text,likes,published_at
top,UgxLWHBm2_-a6BUL8d94AaABAg,,@BuckShooha,Reported for racism and bigotry.,0,1762819200
top,Ugz40uo5fOs70z7AiGl4AaABAg,,@NadineSiwane-cj7jh,ugh im getting sick of Hasan his recent takes have been SO BAD! Saying she's just stupid is actually misogynistic. Even if she was stupid she has a whole team and pr behind her. She knows what she's doing and she's doing it on purpose.,2,1762819200
top,UgygXjx2tICp8vYqXpN4AaABAg,,@Thorrson7,She’s completely irrelevant.,2,1762819200
top,UgwprL9Bq1RC4H1JDDt4AaABAg,,@MsLaraTram,That ending was fantastic OMG 😂,0,1762819200
top,UgxSef-nmEah1Fkg3oF4AaABAg,,@samwarren5025,Damn Hasan really thinks he has a chance with her,0,1762819200
top,UgxAikbySrSsa1NV-mR4AaABAg,,@Freshtat,Homegirl looks like she will age like milk,0,1762819200
top,UgwkFZzuRA_O4h4Zrgl4AaABAg,,@buttershady24,People are tired of Hasan’s misogyny is what I’m seeing,2,1762819200
top,UgxpOkgt8P1_ge9UfZV4AaABAg,,@MissSisyphus,"If, at the end of the day, Hasan is just a disgusting dude, maybe he should shut up a little. 
Sydney ain’t dumb.",1,1762819200
top,UgwEGMnSQE8CewHfLYx4AaABAg,,@mincrazy225,Look all these dog abuse supporters crying in the comments love it / o /o,0,1762819200
top,UgyFA8eVBfGBCwPbXnp4AaABAg,,@Pippi-rippi,You're so incredibly extra daddy in that outfit omg,0,1762819200
top,UgxjcFUmnXgMg0wjHG54AaABAg,,@SoapyRoman,"Call me crazy, but I've never met a racist in real life that isn't abhorently stupid. Sure, there's a few smart ones, but very very few and far between.",0,1762819200
top,Ugw4kym1RBjS1C30AfF4AaABAg,,@victoriaalmanza381,he’s dumb for this one. her pr told her to play an angle and she did,2,1762819200
top,UgzgUcjD3ofBuXA-kCR4AaABAg,,@ElonMusksePoes,"I have too many ringwing ex-Friends ,family members to know these tactics
Its holier than thou trolls that play this dogwhistle but fain innocence game to see how far they can push the envelope and people ,just for the them to deny it or play stupid. Its not from a forthcoming honest place that they play this game with the interviewer.
A narcissist game ,energy vampires and trolls play . Toying with the narraitive but
When you are direct with them or have good evidence and call them out ,They never meant it ""that way"" and its a ""misunderstanding"".
But when you are curtious to them on eggshells around a sensitive topic, they love that.Because they can draw it out and even nudge it to wrack your head about it.moving the goalpost for their enjoyment and sucking the energy and truth out of the room.why they
 cant be straight forward.its a cynical ""prove me wrong "" mentality and they get schadenfreude from it.",0,1762819200
top,Ugxcc2k9uzgbRWwpFdd4AaABAg,,@willhebert3546,Hasan was f***ing EVIL in this one. My god. Lmao,0,1762819200
top,UgxpS831cGq1os-Bhk14AaABAg,,@alemutasa6189,"I know that logically speaking she isn't stupid and follows a precise path to fame and glory and money: it's recognizable, it's fast and cheap and it's a valid (albeit horrible) way of ""becoming someone"". But all I see behind those cow's eyes is a great vastness of nothing, just howling wind and dust. She talks and acts and looks like she has literally nothing going on, just basic animal functions, and that's it",1,1762819200
top,Ugy9ku-Bp0r1L7j8BTF4AaABAg,,@mfcchris499,"Maybe im as stupid as Sydney Sweeney because im not american and so confused with where the drama is.....

Is it in the room with us right now?",0,1762819200
top,UgygNMo5gI9EIwGIVzt4AaABAg,,@lhays117,Sidney Sweeney is overrated. I prefer Auckland Audrey.,0,1762819200
top,UgwqeCFPe9Hf7-ZoGLd4AaABAg,,@maddieb4459,HASAN. IS. THAT. A. $$$$$$ANDWICH,1,1762819200
top,Ugy2hwpWIqv7oiaS_7R4AaABAg,,@maddieb4459,OKAY BROS WAIT-9:22,0,1762819200
top,UgzZrN3wFhoPVU4VcAF4AaABAg,,@maddieb4459,U talking crappie on me gurlies?❤🎉😮 8:27,0,1762819200
top,UgxkVg4Wp1GRocRCpDh4AaABAg,,@maddieb4459,#mutualism. 7:46,0,1762819200
top,UgwGYla1jMILP7Azew94AaABAg,,@maddieb4459,😮,0,1762819200
top,Ugxuw3_zpXXCD2yHDCN4AaABAg,,@maddieb4459,❤😂🎉 4:15,0,1762819200
top,Ugy44SCeXIf8jJQTX9R4AaABAg,,@burninsage22,You did the same thing with Taylor SsWifts yatzee necklace; just watched Fantano…completely ignored the facts while making multiple vids & saying NOTHING. When did you get so insufferable,1,1762819200
top,UgzGSAYci0Be4ZJ1T4p4AaABAg,,@matthewlister2348,Zap ⚡️⚡️⚡️⚡️,1,1762819200
top,UgxkjUNNOs-8j1CW4O94AaABAg,,@k1a2n3e41,My queen did nothing wrong,2,1762819200
top,UgzxZf6eQgHvggjLGAt4AaABAg,,@kma-h3x,this whole interview is so Whyte and self-fellating. can't wait for her to fall out of the zeitgeist.,0,1762819200
top,Ugwnvo5qKl-ewY8yE_V4AaABAg,,@isthisagoodhandlee,"But why are all the people attacking her are like ugly, black, brown and dysgenic tho?",0,1762819200
top,Ugwnvo5qKl-ewY8yE_V4AaABAg.APL2dutJqG4APL2qEBhO8p,,@isthisagoodhandlee,"Maybe the add was right and jeans are destiny? Take the BP,  people",0,1762819200
top,UgygHETBaG11d9O1a9F4AaABAg,,@oakstrom2174,"She doesn't need to feel responsible for an ad she didn't write, but the least any good person would do is set the record straight and denounce racism/ white supremacy",1,1762819200
top,UgyZ5TVxQBbrZWF0THJ4AaABAg,,@iamoanhoanh_,why they both so giggling gaggling talking about this,0,1762819200
top,UgxKRd4rdMmfsi0kskV4AaABAg,,@incomparabledaisy,"she had a glow up, got attention, and then became a mean girl. never trust insecure girls 😢 she likes the attention she doesn’t care if it’s racist",3,1762819200
top,UgwRuEWzjoAThnK4gaB4AaABAg,,@walnutsrcool,If you know her general history and the fact she has to stop herself from gushing over trump in the same interview when they asked what it felt like to be tweeted about by DT she had a big smile and said “surreal” and started to go on but caught herself. She knows what she is saying.,2,1762819200
top,UgyBn5g_wldNogm3WnN4AaABAg,,@csgoat968,"I dont think its just her being stupid but looking at her while she speaks its really does give the ""lights on but nobodies home"" vibe",1,1762819200
top,Ugwn4YNYe43c8IK-9n94AaABAg,,@AccordingToAmaru,I’m happy I played this while driving instead of actually watching because Hasan had the same reaction I would if I were in his shoes 24:10,0,1762732800
