label,adjustment,n_conversations,n_videos,beta_raw,ci_low_raw,ci_high_raw,expert_minus_child_raw,p_bootstrap,p_bootstrap_mcse,p_fdr_bh_8,p_holm_8
Speaker-centroid distance,Unadjusted,105,21,-0.041643007312502194,-0.05312790349202856,-0.030158111132975823,-0.16657202925000877,0.001,0.001,0.002,0.008
Speaker-centroid distance,Count-adjusted,105,21,-0.035754313045892966,-0.047229475621897374,-0.024279150469888558,-0.14301725218357186,0.001,0.001,0.002,0.008
Median radial distance,Unadjusted,105,21,-0.0033266610152086116,-0.009785897561689735,0.0031325755312725106,-0.013306644060834446,0.323,0.014794927843348541,0.323,0.323
Median radial distance,Count-adjusted,105,21,-0.0071841674822700876,-0.012859299426900705,-0.0015090355376394702,-0.02873666992908035,0.019,0.004319451082910612,0.025333333333333333,0.056999999999999995
Q90 radial distance,Unadjusted,105,21,0.005018393594321967,0.0011615691783095382,0.008875218010334397,0.020073574377287868,0.01,0.0031480009386767836,0.016,0.04
Q90 radial distance,Count-adjusted,105,21,0.0037451358785207723,-0.00014842488285535837,0.007638696639896903,0.01498054351408309,0.078,0.00848457353011853,0.08914285714285715,0.156
Participation ratio (ordinary),Unadjusted,105,21,1.8283774141346019,1.1987889629827393,2.4579658652864644,7.3135096565384075,0.001,0.001,0.002,0.008
Participation ratio (ordinary),Count-adjusted,105,21,1.179825150549938,0.7992006368899646,1.5604496642099115,4.719300602199752,0.001,0.001,0.002,0.008
