,n_utterances,n_utterances,n_utterances,n_A,n_A,n_A,n_B,n_B,n_B,centroid_dist_mean,centroid_dist_mean,centroid_dist_mean,centroid_dist_std,centroid_dist_std,centroid_dist_std,centroid_dist_slope,centroid_dist_slope,centroid_dist_slope,cross_nn_A_to_B,cross_nn_A_to_B,cross_nn_A_to_B,cross_nn_B_to_A,cross_nn_B_to_A,cross_nn_B_to_A,hausdorff_AB,hausdorff_AB,hausdorff_AB,influence_A_toward_B,influence_A_toward_B,influence_A_toward_B,influence_B_toward_A,influence_B_toward_A,influence_B_toward_A,influence_asymmetry_AminusB,influence_asymmetry_AminusB,influence_asymmetry_AminusB,turn_jump_mean,turn_jump_mean,turn_jump_mean,turn_jump_std,turn_jump_std,turn_jump_std,turn_jump_A_to_B_mean,turn_jump_A_to_B_mean,turn_jump_A_to_B_mean,turn_jump_B_to_A_mean,turn_jump_B_to_A_mean,turn_jump_B_to_A_mean,hull_area_A,hull_area_A,hull_area_A,hull_area_B,hull_area_B,hull_area_B,hull_overlap_area,hull_overlap_area,hull_overlap_area,hull_overlap_ratio_min,hull_overlap_ratio_min,hull_overlap_ratio_min,containment_A_in_B,containment_A_in_B,containment_A_in_B,containment_B_in_A,containment_B_in_A,containment_B_in_A,k_clusters,k_clusters,k_clusters,entropy_total,entropy_total,entropy_total,entropy_A,entropy_A,entropy_A,entropy_B,entropy_B,entropy_B,mi_speaker_cluster,mi_speaker_cluster,mi_speaker_cluster,nmi_speaker_cluster,nmi_speaker_cluster,nmi_speaker_cluster,mi_turn_clusters,mi_turn_clusters,mi_turn_clusters,nmi_turn_clusters,nmi_turn_clusters,nmi_turn_clusters,entropy_slope_A,entropy_slope_A,entropy_slope_A,entropy_slope_B,entropy_slope_B,entropy_slope_B,align_eps,align_eps,align_eps,align_lag_A_to_B,align_lag_A_to_B,align_lag_A_to_B,align_lag_B_to_A,align_lag_B_to_A,align_lag_B_to_A,align_lag_asymmetry_AminusB,align_lag_asymmetry_AminusB,align_lag_asymmetry_AminusB,level_num,level_num,level_num
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
expertise_guest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child,46.07692307692308,23.450165381298625,13,32.07692307692308,18.386868223733018,13,14.0,6.904105059069326,13,0.5943722748923077,0.13073711585098555,13,0.17073593945384616,0.04157510282209111,13,-0.019904290217846156,0.023143179920509682,13,1.0386459251692308,0.06610109914690496,13,0.9451826378692307,0.1629578329334272,13,1.0507528512,0.07137628025187044,13,0.13551164820307693,0.10259091921276874,13,0.24565086232076921,0.09081971904017917,13,-0.11013921410446155,0.09774204213892085,13,1.1785534103846154,0.06757231509926037,13,0.2102639386692308,0.07974299852883668,13,1.1867156155384615,0.05327453466306172,13,1.1719786457692307,0.10144987973802491,13,0.5774437788846154,0.14673333260026641,13,0.4149639196538462,0.10520165666188246,13,0.32649283077846153,0.1277508548574316,13,0.8189269043,0.22536975430139952,13,0.42901778910000005,0.13529102743597896,13,0.5766365494615384,0.33298260091702286,13,6.461538461538462,2.2954805094425805,13,2.410526091076923,0.6200882290959924,13,2.230144927576923,0.6739743508714191,13,2.1560829870846154,0.6314694095638395,13,0.13475942563615384,0.06647507405261914,13,0.12126068201153847,0.06098454248219857,13,0.7435843653307692,0.27386967383066974,13,0.45967365203076926,0.1014065994808503,13,0.08595384933615385,0.06388954651855326,13,0.14826475220416666,0.07844336593243117,12,1.2463002912307692,0.03031632784119145,13,7.589483104916667,3.287660849274906,12,3.3452298079230767,1.3292960415083135,13,4.048817479316667,2.81031974952252,12,12.0,0.0,13
Teen,48.38461538461539,21.723790574461837,13,34.30769230769231,15.965507693068702,13,14.076923076923077,8.200218883882902,13,0.5862452893076923,0.15657111824323947,13,0.18356348101076922,0.05086393293350659,13,-0.017699422500923077,0.024788864878203965,13,1.0483887458461538,0.07674972551377625,13,0.9518399110846154,0.15583515078340757,13,1.0656283704769232,0.07946364618324753,13,0.12679916011130768,0.09796765103161185,13,0.2684823283,0.16385331697116107,13,-0.1416831681869231,0.10327693270422231,13,1.1897281233076922,0.05797949322933897,13,0.1759489497153846,0.06003403522824853,13,1.2007638163076924,0.06944231731678253,13,1.1751468818923076,0.09027345186099554,13,0.6382082617416667,0.12513792765740078,12,0.36174890466666665,0.17633019969761113,12,0.3245280750833333,0.17782753891700417,12,0.9188747429666666,0.11813840478569856,12,0.36857648668750004,0.22941193989743422,12,0.7759099331416667,0.21397031408604783,12,6.769230769230769,1.7867030229749132,13,2.503546116884616,0.5629515153465645,13,2.2401038353846157,0.776288331980583,13,2.1293588330769233,0.4799106613588275,13,0.17027083246923078,0.05519051617438904,13,0.15523164796076921,0.07473452888147859,13,0.7132019258384615,0.24610245486648663,13,0.42470037390000004,0.1472257419709737,13,0.054433104335,0.023542065669543887,12,0.16544819662333332,0.07151663877921693,12,1.2346918158461537,0.05445411564303582,13,7.52379772825,2.9512816965000095,12,4.54919765376923,2.7553152584900378,13,2.6788336034999998,4.072939995486474,12,13.0,0.0,13
College Student,44.92307692307692,23.099284038188785,13,32.53846153846154,19.23371772268423,13,12.384615384615385,5.40891950914508,13,0.5492793347461539,0.13516921381445635,13,0.18071920515384615,0.03644603091635388,13,-0.01973437855176923,0.027289366786979054,13,1.0273949776307691,0.059440602665770226,13,0.9683907939692309,0.0682967124482538,13,1.0364123198,0.060122166122292486,13,0.11629990155153846,0.08369059386974176,13,0.27707727453076925,0.1193762885403244,13,-0.16077737296153846,0.12451279827771092,13,1.1551316432307692,0.053082447629604006,13,0.2170332522923077,0.04779882584054768,13,1.1374646064153846,0.0800083365367856,13,1.174197857,0.08014328828609188,13,0.5938830635,0.13475197562720548,13,0.42868369773076925,0.1012294956031239,13,0.35929513095384613,0.10905549331517124,13,0.8865113161384616,0.14262975080968746,13,0.41162214014615384,0.14859622188278224,13,0.6601779068846153,0.21292635257261808,13,6.384615384615385,2.0223114472661203,13,2.413822889123077,0.5622039448204751,13,2.2901974480384615,0.5557504073190307,13,2.1780973637769234,0.5572110830858349,13,0.09898792232538461,0.06559674086636261,13,0.08537629920161538,0.05425495878849137,13,0.7982958913692308,0.24625627558851548,13,0.5022143101307692,0.0918123880302597,13,0.07269145117923077,0.05968327573156696,13,0.1622878792218182,0.06884879086518088,11,1.211333396076923,0.06888974463319705,13,6.228780774923076,3.8519141501013214,13,3.157214473615385,2.139425842583872,13,3.071566301976923,4.237110583301227,13,14.0,0.0,13
Graduate Student,39.23076923076923,17.945072889950627,13,22.46153846153846,12.823256116755115,13,16.76923076923077,7.178136319800636,13,0.5237331128615385,0.12534593256404802,13,0.19998022157692308,0.045378439253999175,13,-0.020344024475923077,0.01983140743491945,13,0.9927473167615385,0.0720760411098719,13,0.9999263899923078,0.08234760753042529,13,1.0243159081,0.07143601897015958,13,0.1854581117876923,0.11538405596231299,13,0.22693242873846156,0.05597490692795765,13,-0.041474316977230766,0.13063277810804133,13,1.162514350076923,0.06646607813339811,13,0.18408780272307693,0.047091070335773984,13,1.1547563388538462,0.09612220160809909,13,1.1713490156923076,0.06172876875782589,13,0.539909091676923,0.08878877022058343,13,0.5228748734153845,0.08863552912575154,13,0.4006662704846154,0.10617341674402982,13,0.8405489043000001,0.16003102785475212,13,0.5036546864692307,0.19716139346868977,13,0.5602258280692308,0.270003061207576,13,5.923076923076923,1.4411533842457842,13,2.3345703891538463,0.4887291069948197,13,2.1782669930000003,0.5066964417096746,13,2.1453435462,0.5514446668554598,13,0.1041238765923077,0.038440237462966154,13,0.09315126867615384,0.03447796758614696,13,0.6327928361461539,0.23367654735828022,13,0.41939727453846154,0.10791986406359604,13,0.09847991065615386,0.07390078695086291,13,0.13744057184846153,0.08919702269956735,13,1.1963203531538462,0.04415562154090206,13,4.061572577769231,1.8207940837858319,13,4.459399913769231,2.6513181145890474,13,-0.3978273360615385,2.56474580616409,13,15.0,0.0,13
Expert,74.08333333333333,64.48038226445077,12,33.5,31.606961258558215,12,40.583333333333336,35.095864385561114,12,0.47525587741666664,0.12811292805905064,12,0.1842766317,0.029182702018944223,12,-0.017389963720166667,0.016394751768126357,12,0.9536193322583334,0.07958798559524362,12,1.009228799375,0.061688251465743596,12,1.013836096425,0.05431112967017125,12,0.2046399552,0.07018341079937992,12,0.1857509486325,0.11044366363282067,12,0.01888900659925,0.08419189645949315,12,1.1702429809000001,0.06529589321494877,12,0.1755016969333333,0.052147015072464255,12,1.1608910739,0.08412744726462841,12,1.17959811125,0.06639923976915413,12,0.49457082183333334,0.1809492357143186,12,0.5696822446916666,0.05636123865191505,12,0.41418299038333334,0.14621609069837535,12,0.8916914863666667,0.07665866170754851,12,0.6428896981583333,0.1873250868318862,12,0.630411350625,0.25082970518018227,12,7.583333333333333,3.088345639315455,12,2.5448515827500002,0.6950878128556457,12,2.2750136388333333,0.8277072194679586,12,2.5157645271666667,0.585419812032551,12,0.1039375225675,0.059611448672391994,12,0.09004225905583334,0.059315236145627434,12,0.7947520233683334,0.3454199065027355,12,0.44992881342499996,0.1556200241604991,12,0.0936338798125,0.060393722770614285,12,0.11061746632749998,0.107369771749673,12,1.158450496425,0.09293219688484276,12,6.345409117749999,3.9455534462487742,12,7.247032126166666,4.994638517847829,12,-0.9016230080666667,3.9410767851548827,12,16.0,0.0,12
