label,adjustment,n_conversations,n_videos,beta_raw,ci_low_raw,ci_high_raw,expert_minus_child_raw,p_bootstrap,p_bootstrap_mcse,p_fdr_bh_8,p_holm_8
Speaker-centroid distance,Unadjusted,105,21,-0.04155975580215455,-0.053085498329811805,-0.03003401327449729,-0.1662390232086182,0.001,0.001,0.002,0.008
Speaker-centroid distance,Count-adjusted,105,21,-0.03564579404978041,-0.04717924993564662,-0.0241123381639142,-0.14258317619912164,0.001,0.001,0.002,0.008
Median radial distance,Unadjusted,105,21,-0.003250624091709027,-0.00973297878961992,0.0032317306062018655,-0.013002496366836107,0.335,0.014933117490932629,0.335,0.335
Median radial distance,Count-adjusted,105,21,-0.007130350730548062,-0.012832628870010554,-0.0014280725910855699,-0.028521402922192247,0.019,0.004319451082910612,0.025333333333333333,0.056999999999999995
Q90 radial distance,Unadjusted,105,21,0.005050394639087167,0.0012086462884335,0.008892142989740833,0.020201578556348666,0.009,0.002987963843142672,0.0144,0.036
Q90 radial distance,Count-adjusted,105,21,0.0037847637315893555,-9.934567796683302e-05,0.007668873141145545,0.015139054926357422,0.073,0.008230354715243974,0.08342857142857142,0.146
Participation ratio (ordinary),Unadjusted,105,21,1.8267565460526773,1.1926400142815758,2.460873077823779,7.307026184210709,0.001,0.001,0.002,0.008
Participation ratio (ordinary),Count-adjusted,105,21,1.1692584073584924,0.7898425253691154,1.5486742893478695,4.67703362943397,0.001,0.001,0.002,0.008
