metric,label,adjustment,n_conversations,n_videos,beta_sd,se_sd,ci_low_sd,ci_high_sd,beta_raw,ci_low_raw,ci_high_raw,expert_minus_child_raw,expert_minus_child_low_raw,expert_minus_child_high_raw,p_wald_asymptotic,log_count_beta_sd,video_variance,residual_variance,icc,boundary_variance,converged,fit_warnings,lr_observed,p_bootstrap,p_bootstrap_mcse,bootstrap_replicates,bootstrap_exceedances,ml_validation_max_error,p_fdr_bh_8,p_holm_8,passes_fdr_05
speaker_centroid_cosine_distance,Speaker-centroid distance,Unadjusted,105,21,-0.36437779578455287,0.05155843661797189,-0.4654304746549689,-0.26332511691413685,-0.04155975580215455,-0.053085498329811805,-0.03003401327449729,-0.1662390232086182,-0.21234199331924722,-0.12013605309798916,1.5800242508366318e-12,,0.186196413992358,0.5582372011627793,0.2501182243813041,False,True,lbfgs: Random effects covariance is singular,39.57285789901533,0.001,0.001,999,0,3.61524143954739e-11,0.002,0.008,True
speaker_centroid_cosine_distance,Speaker-centroid distance,Count-adjusted,105,21,-0.31252676090497533,0.051592941005812736,-0.41364706713286803,-0.21140645467708266,-0.03564579404978041,-0.04717924993564662,-0.0241123381639142,-0.14258317619912164,-0.1887169997425865,-0.0964493526556568,1.3821136935629357e-09,-0.8858794966559753,0.014284386719090516,0.5400023810324409,0.02577075180242033,False,True,lbfgs: Random effects covariance is singular | lbfgs: The MLE may be on the boundary of the parameter space.,31.591762494402673,0.001,0.001,999,0,1.4007639492774615e-09,0.002,0.008,True
radial_distance_median,Median radial distance,Unadjusted,105,21,-0.0606486296397791,0.0617076407447206,-0.18159338307036788,0.060296123790809675,-0.003250624091709027,-0.00973297878961992,0.0032317306062018655,-0.013002496366836107,-0.03893191515847968,0.012926922424807462,0.32568705311491175,,0.20864149781624006,0.7996449145186955,0.2069268168883475,False,True,lbfgs: Random effects covariance is singular,0.9719640696738452,0.335,0.014933117490932629,999,334,4.439471013029106e-11,0.335,0.335,False
radial_distance_median,Median radial distance,Count-adjusted,105,21,-0.13303476146679813,0.05428183850689716,-0.23942520995493605,-0.026644312978660226,-0.007130350730548062,-0.012832628870010554,-0.0014280725910855699,-0.028521402922192247,-0.051330515480042214,-0.0057122903643422795,0.014253306135665129,1.2367234362192003,0.09138121979166791,0.5934163784157761,0.13344266982079284,False,True,lbfgs: Random effects covariance is singular | lbfgs: The MLE may be on the boundary of the parameter space.,5.855147930266753,0.019,0.004319451082910612,999,18,5.149445314600598e-10,0.025333333333333333,0.056999999999999995,True
radial_distance_q90,Q90 radial distance,Unadjusted,105,21,0.14100532378160174,0.05472566117927002,0.03374499884009073,0.24826564872311274,0.005050394639087167,0.0012086462884335,0.008892142989740833,0.020201578556348666,0.004834585153734,0.03556857195896333,0.009978163703064,,0.35045094070154276,0.628928578216735,0.35782955833976904,False,True,lbfgs: Random effects covariance is singular,6.463591669619632,0.009,0.002987963843142672,999,8,4.968683242623229e-10,0.0144,0.036,True
radial_distance_q90,Q90 radial distance,Count-adjusted,105,21,0.1056693334970906,0.05532909397733449,-0.0027736979957170144,0.21411236498989822,0.0037847637315893555,-9.934567796683302e-05,0.007668873141145545,0.015139054926357422,-0.00039738271186733206,0.03067549256458218,0.05615470967293262,0.6037185055184426,0.26661580321021083,0.6099738790141478,0.30415119937719265,False,True,lbfgs: Random effects covariance is singular,3.619685181880925,0.073,0.008230354715243974,999,72,3.3026026358129457e-11,0.08342857142857142,0.146,False
participation_ratio,Participation ratio (ordinary),Unadjusted,105,21,0.2747247146960859,0.04865618380067435,0.17936034682160296,0.37008908257056883,1.8267565460526773,1.1926400142815758,2.460873077823779,7.307026184210709,4.770560057126303,9.843492311295115,1.639904918911545e-08,,0.36943076172601036,0.4971590866294511,0.4263040496344191,False,True,lbfgs: Random effects covariance is singular,27.304057080217603,0.001,0.001,999,0,1.1937117960769683e-12,0.002,0.008,True
participation_ratio,Participation ratio (ordinary),Count-adjusted,105,21,0.17584400234485248,0.029112833313789055,0.11878389756190805,0.2329041071277969,1.1692584073584924,0.7898425253691154,1.5486742893478695,4.67703362943397,3.1593701014764615,6.194697157391478,1.5403258594598407e-09,1.6893856774534006,0.12545040106240746,0.16745698202578738,0.4282937484871597,False,True,lbfgs: Random effects covariance is singular,31.481640635942597,0.001,0.001,999,0,1.0800249583553523e-12,0.002,0.008,True
