convo_id,speaker_A,speaker_B,n_utterances,n_A,n_B,centroid_dist_mean,centroid_dist_std,centroid_dist_slope,cross_nn_A_to_B,cross_nn_B_to_A,hausdorff_AB,influence_A_toward_B,influence_B_toward_A,influence_asymmetry_AminusB,turn_jump_mean,turn_jump_std,turn_jump_A_to_B_mean,turn_jump_B_to_A_mean,hull_area_A,hull_area_B,hull_overlap_area,hull_overlap_ratio_min,containment_A_in_B,containment_B_in_A,k_clusters,entropy_total,entropy_A,entropy_B,mi_speaker_cluster,nmi_speaker_cluster,mi_turn_clusters,nmi_turn_clusters,entropy_slope_A,entropy_slope_B,align_eps,align_lag_A_to_B,align_lag_B_to_A,align_lag_asymmetry_AminusB
wired_astro_13,Speaker 1 (Janna Levin),Speaker 3 (teen),53.0,45.0,8.0,0.6096680333145145,0.14977751370042952,-0.008809342704941488,1.104011218443188,0.966930839898259,1.104011218443188,0.07701779176281144,0.3951636945865154,-0.318145902823704,1.2347586094495815,0.14165684589164224,1.2091073143225086,1.2604099045766541,0.7065071923018114,0.19350736540323743,0.18956414147048833,0.9796223573995125,0.15555555555555556,0.875,7.0,2.637310006131789,2.6018930436144734,1.75,0.113679320364951,0.10094124152909752,1.1930808571601248,0.6922553887094024,0.04716594188556471,0.1978211099977135,1.239949329639839,15.96551724137931,4.333333333333333,11.632183908045977
wired_astro_14,Speaker 1 (Janna Levin),Speaker 4 (college student),52.0,35.0,17.0,0.4382936897505129,0.1817581659718881,-0.010006846590914614,0.9149196824727637,0.9076824586248786,0.9149196824727637,0.13336592777097597,0.244949040438387,-0.11158311266741103,1.102334034461699,0.21018309616245995,1.0978083511166088,1.1068597178067892,0.6069330750912163,0.49065737377044777,0.49137338923406265,1.0014592982840809,0.5428571428571428,0.7647058823529411,7.0,2.695230952380813,2.6520480339667474,2.5580510765444573,0.05123237473002225,0.040983114629433624,1.2184529743783472,0.6977702745601092,0.031651536737935304,0.17219986289824757,1.1109254039329137,8.090909090909092,2.769230769230769,5.3216783216783226
wired_astro_15,Speaker 1 (Janna Levin),Speaker 5 (grad student),67.0,37.0,30.0,0.370999129104428,0.20723131168025358,-0.007780714874823365,1.0071940536956605,0.9907212908417057,1.0071940536956605,0.14163703681337633,0.19508619673864236,-0.05344915992526603,1.1694196723683308,0.1639924108535393,1.1554702886288628,1.1833690561077985,0.6266727416862548,0.5708263089663926,0.5295991719162336,0.9277763894155302,0.7297297297297297,0.8,8.0,2.8678800011753887,2.7490327591517234,2.666247897312731,0.1080721054618838,0.08078519489244795,0.9114447711437333,0.48629266942097277,0.048493921668301326,0.05940987822632443,1.1845665215575862,3.6,3.05,0.5500000000000003
wired_astro_16,Speaker 1 (Janna Levin),Speaker 6 (expert),42.0,23.0,19.0,0.4446676875759413,0.19390569244065778,-0.014347764195368621,0.9647389344471158,0.9574789141790815,0.9647389344471158,0.18520927064413065,0.23038596781280832,-0.04517669716867767,1.0707824808498079,0.16297308100583388,1.0571917844660814,1.0866382932974892,0.5507361976966632,0.5262769373893786,0.48557893758163495,0.9226680918042351,0.6086956521739131,0.7368421052631579,6.0,2.4749525415173124,2.435909241665556,2.2492870686521598,0.08558123006985631,0.07119572370553394,0.7641296547214522,0.49048650723977916,0.07107053677038502,0.11631783683838634,1.0953659303450805,3.066666666666667,3.0714285714285716,-0.004761904761904745
wired_blockchain_12,Speaker 1 (Bettina Warburg),Speaker 2 (Child),20.0,13.0,7.0,0.5917039741498156,0.1979502992359756,-0.03091326717316015,1.0561512431404976,0.9397395970896069,1.0561512431404976,0.1731081487553503,0.38092297497391275,-0.20781482621856245,1.1775353485799573,0.28542533983766194,1.218967729444492,1.1361029677154224,0.5116785354691153,0.519249276195792,0.3235539656199815,0.6323383593242619,0.5384615384615384,0.14285714285714285,4.0,1.8016094970590275,1.7381493331928661,1.8423709931771086,0.01870290124172752,0.0197264351185425,0.5623351446188081,0.5771596324111233,0.09152196836694078,0.2750239372073754,1.264681162160258,4.333333333333333,3.1666666666666665,1.1666666666666665
wired_blockchain_13,Speaker 1 (Bettina Warburg),Speaker 3 (Teen - Ian),32.0,21.0,11.0,0.5489290538341058,0.20936883030330897,-0.01802182699384243,1.1105085364011333,0.9700134267414271,1.1105085364011333,0.18763693583148425,0.23994377236531156,-0.05230683653382731,1.2496567453817888,0.10673144442882862,1.2630842386852306,1.2362292520783467,0.6148645995777163,0.41285513840422444,0.37555410385164184,0.9096510347509316,0.3333333333333333,0.7272727272727273,6.0,2.4905074211313076,2.1999793267164867,2.2312702546075758,0.1939230606766824,0.16366336210377333,0.7678235671618701,0.44808333687543095,0.06473201580910797,0.17821797000028838,1.2436982028966033,5.357142857142857,5.636363636363637,-0.2792207792207799
wired_blockchain_14,Speaker 1 (Bettina Warburg),Speaker 4 (College Student),23.0,20.0,3.0,0.6877730631150609,0.16958581859656538,-0.02330430566269435,1.1190577661347645,1.0074678026970316,1.1190577661347645,0.13675679342950145,0.5039173153616545,-0.3671605219321531,1.196606021751558,0.170759608075656,1.0889304386934027,1.3042816048097132,0.5906102561675615,0.2777882253699624,0.26672393653027937,0.960170058234299,0.15,0.6666666666666666,5.0,2.1768589799249654,2.1588718484453606,1.584962500721156,0.06435516159388777,0.06788175308623474,1.0986122886681098,0.7601875334318686,0.09067813134538563,,1.1696424052115233,3.6,3.0,0.6000000000000001
wired_blockchain_15,Speaker 5 (Grad Student),Speaker 1 (Bettina Warburg),36.0,19.0,17.0,0.5257495667765368,0.23150735395792096,-0.018041531647654842,1.0929452221642808,1.0196330620578626,1.0929452221642808,0.20434359337350175,0.16028643371630358,0.04405715965719817,1.217826382949142,0.11711332583592052,1.1831079426371374,1.2525448232611465,0.5822044682756573,0.428221618483336,0.320019190707189,0.7473214263227169,0.47368421052631576,0.47058823529411764,6.0,2.403708086845815,2.439268146254097,1.6589797521242051,0.2307552536098076,0.19574385581442225,0.41272565263942174,0.2966999745614875,0.11038163388753709,0.07368695146416077,1.2133549312760659,3.1538461538461537,3.0,0.15384615384615374
wired_blockchain_16,Speaker 6 (Expert),Speaker 1 (Bettina Warburg),68.0,46.0,22.0,0.43435679465810995,0.12386979419300795,-0.0049157337048720655,1.0747280764139182,0.9989990551442683,1.0747280764139182,0.08313292671262355,0.22188903184297035,-0.1387561051303468,1.1631262269961224,0.18169639757976763,1.2149823391541776,1.1112701148380668,0.581590271788227,0.47236968514374306,0.42306032389439113,0.8956127736386238,0.6304347826086957,0.5909090909090909,8.0,2.7486964085405257,2.7043552317872246,2.2953570516174424,0.12245423487947149,0.0966202723318995,0.7180172162617425,0.5428401606913948,0.030171596007698122,0.06088744953451665,1.2148119753406648,10.472222222222221,5.25,5.222222222222221
wired_crispr_12,Speaker 1 (Neville Sanjana),Speaker 2 (Tegan - Child),21.0,14.0,7.0,0.7359087187422508,0.18686571477473887,-0.028205319592533345,1.064249256162882,0.9451003397261266,1.064249256162882,0.2054114060997185,0.30856000270771106,-0.10314859660799255,1.105071320302006,0.384290578545784,1.2061768421567962,0.9837446940762578,0.5037505055561261,0.29353559127149476,0.1517544530969996,0.5169882549494312,0.21428571428571427,0.42857142857142855,5.0,2.201078735588117,2.1820058147602133,1.4488156357251847,0.18262324310102823,0.16892466184533864,0.790438125437663,0.5722245536031894,0.18744995674476916,0.20958482150224697,1.2675728927402197,4.857142857142857,1.5,3.3571428571428568
