video_uid,conversation_uid,conversation_id,level_label,stage,trajectory_type,n_turns,lag,lag_distance_observed,lag_distance_null_mean,lag_distance_null_sd,lag_distance_z
astro,astro::wired_astro_12,wired_astro_12,child,Beginning,joint,8,1,0.8958096541867648,0.9974427632800626,0.04497265189687685,-2.2598869492140348
astro,astro::wired_astro_12,wired_astro_12,child,Beginning,joint,8,2,0.9529661288941467,1.008591200275165,0.03474832099419723,-1.600798823928998
astro,astro::wired_astro_12,wired_astro_12,child,Beginning,joint,8,3,1.0575578190748083,0.9912476839161957,0.05951299681785822,1.1142126712515805
astro,astro::wired_astro_12,wired_astro_12,child,End,joint,8,1,0.9690474848918462,1.0070028580349477,0.02147458284823351,-1.7674556666055883
astro,astro::wired_astro_12,wired_astro_12,child,End,joint,8,2,0.9442858625704409,0.9920637656573407,0.048700689381007106,-0.9810518843606512
astro,astro::wired_astro_12,wired_astro_12,child,End,joint,8,3,0.9761158954914729,1.0082755479322092,0.029554162162685346,-1.088159842383912
astro,astro::wired_astro_15,wired_astro_15,graduate,Beginning,joint,10,1,0.9088033455869572,0.9886002480356041,0.03104233960473116,-2.5705827416592357
astro,astro::wired_astro_15,wired_astro_15,graduate,Beginning,joint,10,2,0.9538093231858632,1.0138247333986132,0.02983393093119094,-2.0116494320232134
astro,astro::wired_astro_15,wired_astro_15,graduate,Beginning,joint,10,3,0.9692224564816505,0.9930776185639463,0.04124673569738595,-0.5783527272876435
astro,astro::wired_astro_15,wired_astro_15,graduate,End,joint,10,1,0.9758223283065849,0.9857034700943909,0.02149193318392345,-0.4597604926111222
astro,astro::wired_astro_15,wired_astro_15,graduate,End,joint,10,2,1.0140263243108942,1.0193460422935914,0.025483044556019723,-0.20875519685266566
astro,astro::wired_astro_15,wired_astro_15,graduate,End,joint,10,3,1.0210700605311251,0.9867809182735637,0.027324691768843095,1.2548775498598492
astro,astro::wired_astro_15,wired_astro_15,graduate,Middle,joint,9,1,0.9280213042527325,0.9742248730111457,0.034847102109463755,-1.3258941479057795
astro,astro::wired_astro_15,wired_astro_15,graduate,Middle,joint,9,2,1.0402321525945162,1.0343397981611597,0.01816271849937229,0.3244202916848649
astro,astro::wired_astro_15,wired_astro_15,graduate,Middle,joint,9,3,1.0313477690619908,0.9763559862061433,0.0453352425168845,1.213002948762578
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Beginning,joint,17,1,0.9125806256724771,1.0106028573201593,0.02406455902626274,-4.0733026331671445
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Beginning,joint,17,2,0.903464264001248,0.9921822910371472,0.026029479377145375,-3.40836732653962
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Beginning,joint,17,3,0.997585237840058,1.009896107046224,0.025929679183575405,-0.4747790791782734
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Beginning,expert,9,1,0.8896113033671089,0.9990178201853561,0.039730344789022605,-2.7537268402582793
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Beginning,expert,9,2,0.9265498763550243,0.9984275652388162,0.042166887967521834,-1.704600276386395
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Beginning,expert,9,3,1.0428975665416624,1.0001582899400772,0.04928688200858612,0.8671531827503268
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Beginning,partner,8,1,0.934158317364802,0.9998138082957876,0.03227912081322855,-2.0339925399727363
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Beginning,partner,8,2,0.9646349307323417,1.0002073904172015,0.03717008995636162,-0.9570183910402831
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Beginning,partner,8,3,1.002386772209421,0.9999959666285481,0.0408971351634038,0.05845899893282475
dimension,dimension::wired_dimension_12,wired_dimension_12,child,End,joint,17,1,0.9947005158958758,1.022007751086289,0.019000252623817684,-1.437203795710714
dimension,dimension::wired_dimension_12,wired_dimension_12,child,End,joint,17,2,1.0209275049195354,0.9778087156908798,0.05518409552783575,0.7813626157360108
dimension,dimension::wired_dimension_12,wired_dimension_12,child,End,joint,17,3,1.0311228980195823,1.0217289585682907,0.021207698967778448,0.4429494904451517
dimension,dimension::wired_dimension_12,wired_dimension_12,child,End,expert,8,1,0.9821746970933841,1.0014007276651686,0.032015162515263436,-0.60052890759553
dimension,dimension::wired_dimension_12,wired_dimension_12,child,End,expert,8,2,1.030071662319019,1.000765792653572,0.034994528547804965,0.8374414767558033
dimension,dimension::wired_dimension_12,wired_dimension_12,child,End,expert,8,3,0.9126170776792433,0.9984914921047846,0.03836627317598888,-2.238278761964425
dimension,dimension::wired_dimension_12,wired_dimension_12,child,End,partner,9,1,1.103473542518473,0.9964111034832436,0.1055693547098507,1.0141431604795001
dimension,dimension::wired_dimension_12,wired_dimension_12,child,End,partner,9,2,1.080077418282859,0.9959956979356143,0.11226363276033464,0.7489666803028374
dimension,dimension::wired_dimension_12,wired_dimension_12,child,End,partner,9,3,0.6972000335448292,1.0042055609645526,0.12047143543980536,-2.5483678043590796
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Middle,joint,16,1,0.9643167900376187,0.9953889115146513,0.029694216796235025,-1.0464031326454184
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Middle,joint,16,2,1.0113812218382952,1.0023489984083747,0.043040179828524684,0.2098556155180009
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Middle,joint,16,3,1.024847077959475,0.9973602232026092,0.030634564287536185,0.8972497372208064
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Middle,expert,8,1,0.9875631525451231,0.9981821938913451,0.02914326947211219,-0.36437371436254373
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Middle,expert,8,2,1.0276518318208439,1.0020325691289806,0.03231760888899428,0.7927338553994264
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Middle,expert,8,3,0.9948541621214173,0.9970564054862875,0.037902090384672876,-0.058103480375867114
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Middle,partner,8,1,1.0275489600002305,1.0043347381673449,0.07532671664574732,0.30818045530989274
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Middle,partner,8,2,1.079436867398696,1.000051075219535,0.08382790612599227,0.9470091267679422
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Middle,partner,8,3,1.0817916226845592,0.9941135155117231,0.09667707472036623,0.90691725444156
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,Beginning,joint,14,1,0.9830413577745551,1.03600750122916,0.020754170913869517,-2.552072240053151
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,Beginning,joint,14,2,0.8535427060460868,0.9552538907891649,0.04856694565896571,-2.0942470926067314
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,Beginning,joint,14,3,1.0171450722382336,1.0347642908099646,0.024944462659392055,-0.7063378679394813
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,End,joint,14,1,1.0087766480349223,1.0377945762794787,0.023098911832611507,-1.2562465476658649
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,End,joint,14,2,0.9683553119849806,0.9557518637826949,0.048012016143075306,0.26250612273243235
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,End,joint,14,3,1.0140670969461945,1.0381342286383028,0.02719644098396695,-0.8849368086911309
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,Middle,joint,14,1,1.0545661691466002,1.0444652510715293,0.016606905265527903,0.608236026735097
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,Middle,joint,14,2,0.8519080270170423,0.9467637713439983,0.04052717787977504,-2.3405464996439695
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,Middle,joint,14,3,1.0562149273578065,1.0428544526696872,0.019568185350129087,0.6827651337650049
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Beginning,joint,15,1,0.9821901288038026,1.0297253537751658,0.019556165078539613,-2.4307027876097766
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Beginning,joint,15,2,0.9482052603035162,0.9618403028507095,0.041898205611603526,-0.3254326133579626
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Beginning,joint,15,3,1.0023533236144193,1.0309807816547567,0.021436402094593437,-1.3354600232824352
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Beginning,expert,8,1,0.9256239785351498,0.9982242978281004,0.03644909334687128,-1.9918278515748735
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Beginning,expert,8,2,0.9164538097946927,1.000562351127095,0.04173069537446141,-2.015507783363596
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Beginning,expert,8,3,1.019963739056268,1.0025936659937429,0.044380212738302546,0.39139228928332076
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,End,joint,15,1,0.9935870681999797,1.0372487793538447,0.017306845744857458,-2.522800040951349
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,End,joint,15,2,0.9271497147728572,0.957886611981581,0.042955224351147285,-0.7155566679726304
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,End,joint,15,3,1.0574609532792525,1.035353354383143,0.01886372245758473,1.1719637492450723
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,End,expert,8,1,0.9875345592004815,1.0011145884523398,0.034560507516399074,-0.3929348909420539
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,End,expert,8,2,0.9467586124752971,1.0010027116924705,0.040654151736520726,-1.3342819097229959
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,End,expert,8,3,1.0140042498702868,1.0018749883166922,0.043850696607804385,0.27660362301829194
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Middle,joint,15,1,1.0481545425590322,1.0724417587345882,0.012259026845231403,-1.9811699967851422
