video_uid,conversation_uid,conversation_id,level_label,_role,_turn_order,_conversation_time,_embedding_row
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,436,0.8928571428571429,78
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,440,0.9285714285714286,79
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,441,0.9642857142857143,80
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,443,1.0,81
astro,astro::wired_astro_16,wired_astro_16,expert,expert,446,0.0,82
astro,astro::wired_astro_16,wired_astro_16,expert,partner,448,0.07692307692307693,83
astro,astro::wired_astro_16,wired_astro_16,expert,expert,451,0.15384615384615385,84
astro,astro::wired_astro_16,wired_astro_16,expert,partner,452,0.23076923076923078,85
astro,astro::wired_astro_16,wired_astro_16,expert,expert,455,0.3076923076923077,86
astro,astro::wired_astro_16,wired_astro_16,expert,partner,458,0.38461538461538464,87
astro,astro::wired_astro_16,wired_astro_16,expert,expert,462,0.46153846153846156,88
astro,astro::wired_astro_16,wired_astro_16,expert,partner,464,0.5384615384615384,89
astro,astro::wired_astro_16,wired_astro_16,expert,expert,467,0.6153846153846154,90
astro,astro::wired_astro_16,wired_astro_16,expert,partner,475,0.6923076923076923,91
astro,astro::wired_astro_16,wired_astro_16,expert,expert,477,0.7692307692307693,92
astro,astro::wired_astro_16,wired_astro_16,expert,partner,478,0.8461538461538461,93
astro,astro::wired_astro_16,wired_astro_16,expert,expert,481,0.9230769230769231,94
astro,astro::wired_astro_16,wired_astro_16,expert,partner,487,1.0,95
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,880,0.0,96
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,882,0.02040816326530612,97
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,883,0.04081632653061224,98
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,888,0.061224489795918366,99
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,889,0.08163265306122448,100
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,890,0.10204081632653061,101
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,891,0.12244897959183673,102
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,896,0.14285714285714285,103
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,897,0.16326530612244897,104
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,898,0.1836734693877551,105
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,899,0.20408163265306123,106
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,900,0.22448979591836735,107
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,901,0.24489795918367346,108
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,902,0.2653061224489796,109
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,903,0.2857142857142857,110
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,905,0.30612244897959184,111
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,906,0.32653061224489793,112
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,907,0.3469387755102041,113
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,908,0.3673469387755102,114
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,909,0.3877551020408163,115
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,910,0.40816326530612246,116
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,913,0.42857142857142855,117
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,914,0.4489795918367347,118
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,916,0.46938775510204084,119
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,917,0.4897959183673469,120
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,918,0.5102040816326531,121
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,919,0.5306122448979592,122
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,923,0.5510204081632653,123
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,924,0.5714285714285714,124
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,925,0.5918367346938775,125
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,926,0.6122448979591837,126
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,930,0.6326530612244898,127
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,931,0.6530612244897959,128
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,937,0.673469387755102,129
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,938,0.6938775510204082,130
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,939,0.7142857142857143,131
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,940,0.7346938775510204,132
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,942,0.7551020408163265,133
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,943,0.7755102040816326,134
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,946,0.7959183673469388,135
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,947,0.8163265306122449,136
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,949,0.8367346938775511,137
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,950,0.8571428571428571,138
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,951,0.8775510204081632,139
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,952,0.8979591836734694,140
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,960,0.9183673469387755,141
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,961,0.9387755102040817,142
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,962,0.9591836734693877,143
dimension,dimension::wired_dimension_12,wired_dimension_12,child,expert,964,0.9795918367346939,144
dimension,dimension::wired_dimension_12,wired_dimension_12,child,partner,968,1.0,145
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,969,0.0,146
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,971,0.024390243902439025,147
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,972,0.04878048780487805,148
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,973,0.07317073170731707,149
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,974,0.0975609756097561,150
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,979,0.12195121951219512,151
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,980,0.14634146341463414,152
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,994,0.17073170731707318,153
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,995,0.1951219512195122,154
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,999,0.21951219512195122,155
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,1000,0.24390243902439024,156
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,1007,0.2682926829268293,157
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,1008,0.2926829268292683,158
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,1012,0.3170731707317073,159
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,1013,0.34146341463414637,160
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,1014,0.36585365853658536,161
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,1015,0.3902439024390244,162
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,1018,0.4146341463414634,163
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,1019,0.43902439024390244,164
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,1026,0.4634146341463415,165
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,1027,0.4878048780487805,166
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,1032,0.5121951219512195,167
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,1033,0.5365853658536586,168
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,1034,0.5609756097560976,169
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,1035,0.5853658536585366,170
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,1036,0.6097560975609756,171
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,1037,0.6341463414634146,172
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,partner,1038,0.6585365853658537,173
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,expert,1039,0.6829268292682927,174
