video_uid,conversation_uid,conversation_id,level_label,trajectory_type,n_turns,lag,lag_distance_observed,lag_distance_null_mean,lag_distance_null_sd,lag_distance_z
astro,astro::wired_astro_12,wired_astro_12,child,joint,23,1,0.9014500895661387,1.0005286108008966,0.01916142022120814,-5.170729522705021
astro,astro::wired_astro_12,wired_astro_12,child,joint,23,2,0.9533850019472003,0.9978153550670993,0.018111379825633732,-2.4531732837392637
astro,astro::wired_astro_12,wired_astro_12,child,joint,23,3,0.9926485955640777,0.9973074465346626,0.021260295862529806,-0.21913387286373218
astro,astro::wired_astro_12,wired_astro_12,child,joint,23,4,0.973530101530656,0.9985611633151621,0.019928481573497088,-1.256044605916937
astro,astro::wired_astro_12,wired_astro_12,child,joint,23,5,0.9958734663616254,1.0002632739531279,0.023087472483480885,-0.19013807573104152
astro,astro::wired_astro_12,wired_astro_12,child,joint,23,6,1.000307240082679,0.998890556370068,0.02186698407640891,0.06478642448637106
astro,astro::wired_astro_12,wired_astro_12,child,expert,11,1,0.9136178873690343,1.0020606795930624,0.03122437824323111,-2.8324917003976213
astro,astro::wired_astro_12,wired_astro_12,child,expert,11,2,0.9690997989767695,1.0001916954151933,0.034420856568886875,-0.903286540130087
astro,astro::wired_astro_12,wired_astro_12,child,expert,11,3,1.0059613163870662,0.9968613029532674,0.03843862157976477,0.2367414090256911
astro,astro::wired_astro_12,wired_astro_12,child,expert,11,4,1.0617348315948474,1.0010224277714364,0.038217642079497696,1.5885962743887048
astro,astro::wired_astro_12,wired_astro_12,child,expert,11,5,1.0616778133935751,1.001678495257088,0.040463396999438565,1.4828047713670596
astro,astro::wired_astro_12,wired_astro_12,child,expert,11,6,1.0439547449837274,0.996464064842222,0.04837088577690798,0.9818029870393068
astro,astro::wired_astro_12,wired_astro_12,child,partner,12,1,0.9882773107099709,0.9992266558844858,0.023013028569295227,-0.47578897064960146
astro,astro::wired_astro_12,wired_astro_12,child,partner,12,2,0.9803809786650703,0.998706559216951,0.023939068009230978,-0.7655093567057082
astro,astro::wired_astro_12,wired_astro_12,child,partner,12,3,0.9986853875445876,0.9989851553640255,0.025859365224649596,-0.011592234257638482
astro,astro::wired_astro_12,wired_astro_12,child,partner,12,4,0.9753579572065488,1.0004407603577827,0.027192484470422763,-0.9224167500588789
astro,astro::wired_astro_12,wired_astro_12,child,partner,12,5,0.9879543961017935,1.0034979720983945,0.029468754108878815,-0.5274595573050657
astro,astro::wired_astro_12,wired_astro_12,child,partner,12,6,1.0123186735947332,0.999147978476748,0.03270651257049853,0.402693350127009
astro,astro::wired_astro_13,wired_astro_13,teenager,joint,13,1,0.9911395357023685,1.0094806923932236,0.020348724213149778,-0.9013418482030768
astro,astro::wired_astro_13,wired_astro_13,teenager,joint,13,2,0.9737032046162447,0.9925821749922122,0.024871966973767305,-0.7590461339820592
astro,astro::wired_astro_13,wired_astro_13,teenager,joint,13,3,1.0406024659436122,1.0121070972364294,0.02526083598421073,1.128045355466214
astro,astro::wired_astro_13,wired_astro_13,teenager,joint,13,4,0.9761294219761233,0.9910128273127018,0.03206975285425311,-0.4640947937521962
astro,astro::wired_astro_13,wired_astro_13,teenager,joint,13,5,1.0219057201477102,1.0107584330083892,0.029311717510855657,0.380301397732582
astro,astro::wired_astro_13,wired_astro_13,teenager,joint,13,6,1.020147871072539,0.9888409491706277,0.03538652677522168,0.8847130463177557
astro,astro::wired_astro_14,wired_astro_14,undergraduate,joint,17,1,0.8565971817756621,0.9932113921494485,0.03185915190187937,-4.288068018713566
astro,astro::wired_astro_14,wired_astro_14,undergraduate,joint,17,2,0.957588406383159,1.005634973559929,0.023869580605658258,-2.01287856584211
astro,astro::wired_astro_14,wired_astro_14,undergraduate,joint,17,3,0.9739144521987709,0.9894895716772394,0.035719725323306944,-0.4360369330249516
astro,astro::wired_astro_14,wired_astro_14,undergraduate,joint,17,4,0.9533506472683618,1.006204283264102,0.031205802629201897,-1.6937117953274698
astro,astro::wired_astro_14,wired_astro_14,undergraduate,joint,17,5,0.9990032274958667,0.9889677530316108,0.039734882080058945,0.2525608215984169
astro,astro::wired_astro_14,wired_astro_14,undergraduate,joint,17,6,1.0027638258079212,1.0053516948566357,0.030578148577279574,-0.08463131906675675
astro,astro::wired_astro_15,wired_astro_15,graduate,joint,29,1,0.900264296064766,0.9941795166467657,0.015686962957747016,-5.986832558664242
astro,astro::wired_astro_15,wired_astro_15,graduate,joint,29,2,0.9663305069619136,1.0068888251777384,0.012926137353963378,-3.1376982237767184
astro,astro::wired_astro_15,wired_astro_15,graduate,joint,29,3,0.9685396264409225,0.993593190982992,0.01642934095866953,-1.524928151719264
astro,astro::wired_astro_15,wired_astro_15,graduate,joint,29,4,0.9814085852361296,1.0069646716498175,0.013997209713503865,-1.8257986367834838
astro,astro::wired_astro_15,wired_astro_15,graduate,joint,29,5,0.97759159679785,0.9938339202968511,0.01836455732416146,-0.8844386070570724
astro,astro::wired_astro_15,wired_astro_15,graduate,joint,29,6,1.0125771744662955,1.0074158634817745,0.0163346160181353,0.3159738177371733
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,14,1,0.935750645999098,1.000905012103415,0.01874545333969646,-3.475742353285341
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,14,2,0.9903593211939604,0.9988189145257818,0.020920757663896505,-0.40436362141990084
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,14,3,1.0252213178904048,0.9992060676999074,0.022577183542169504,1.152280581938236
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,14,4,1.0274512977957913,1.0008702267774827,0.02576113039420413,1.0318285964768408
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,14,5,1.0301676280899992,1.0001998201054445,0.02539396324698785,1.180115435037867
astro,astro::wired_astro_15,wired_astro_15,graduate,expert,14,6,0.991222474757288,0.9993869990767832,0.02566983051776484,-0.31805914393727475
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,15,1,0.9821001877508699,1.0007367940993974,0.017802154305908965,-1.046873655192481
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,15,2,0.9602735905501917,0.9985781877583801,0.019322915053207768,-1.9823405062182673
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,15,3,0.9877500872193766,0.9993038084584878,0.022048874516594662,-0.524005033926582
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,15,4,1.0049602817368801,0.9985757235808819,0.022871171353661814,0.2791530900307844
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,15,5,0.9657192881971944,1.000493876531802,0.02405143772703348,-1.4458423953392823
astro,astro::wired_astro_15,wired_astro_15,graduate,partner,15,6,1.0062724551872269,0.9985793777104657,0.023286766475673935,0.3303626325620434
astro,astro::wired_astro_16,wired_astro_16,expert,joint,14,1,0.8756634668038049,0.9853287388626946,0.023809861075264862,-4.605876183495108
astro,astro::wired_astro_16,wired_astro_16,expert,joint,14,2,0.9886110730542439,1.0165512414657192,0.021539606863400566,-1.2971531276622488
astro,astro::wired_astro_16,wired_astro_16,expert,joint,14,3,1.0035268777951918,0.987216295637268,0.027825985828665235,0.5861636765846867
astro,astro::wired_astro_16,wired_astro_16,expert,joint,14,4,0.9839701731054046,1.0175060126206268,0.0260550923525132,-1.2871126711622436
astro,astro::wired_astro_16,wired_astro_16,expert,joint,14,5,1.013130516682061,0.9846490779013406,0.031122284915083894,0.9151461359097203
astro,astro::wired_astro_16,wired_astro_16,expert,joint,14,6,1.0277994796359025,1.0167786361337325,0.026133951034811146,0.4217059826694345
dimension,dimension::wired_dimension_12,wired_dimension_12,child,joint,50,1,0.9444212261885078,1.0124466339095843,0.012005864452510081,-5.6660149704467475
dimension,dimension::wired_dimension_12,wired_dimension_12,child,joint,50,2,0.9644364068823964,0.9865919407536597,0.022688532356073016,-0.976508022800029
dimension,dimension::wired_dimension_12,wired_dimension_12,child,joint,50,3,1.0114095693224765,1.0123165618697345,0.013026402703816727,-0.06962724613083425
dimension,dimension::wired_dimension_12,wired_dimension_12,child,joint,50,4,1.0030978334427785,0.9874970367370581,0.022752074519328022,0.6856867795711277
dimension,dimension::wired_dimension_12,wired_dimension_12,child,joint,50,5,1.0113525614053802,1.0110195960933184,0.01259108979827895,0.02644451889361885
