video_uid,conversation_uid,conversation_id,level_label,trajectory_type,horizon,stage,path_length,direct_displacement,route_efficiency,excess_path_fraction,directional_persistence,turning_cost,backward_movement,backtracking_fraction,monotonic_progress_fraction,future_alignment,pairwise_coverage,centroid_dispersion,resultant_length,coverage_per_path,mean_step_distance,step_distance_sd,step_distance_cv,normalized_acceleration,n_local_windows
astro,astro::wired_astro_12,wired_astro_12,child,expert,3,Beginning,3.071436884310992,1.148772557822645,0.3742293973125934,0.6257706026874066,-0.2783077672225029,0.6391538836112515,0.04396910400054954,0.014541373109564062,0.6666666666666666,0.6030003371720913,1.104496843985694,0.6767805508868696,0.7294302175633762,0.35948813983737316,1.0238122947703305,0.14257571714024964,0.13697266858212426,1.568106618857918,2
astro,astro::wired_astro_12,wired_astro_12,child,expert,3,End,2.9712438220870236,1.0789782401957408,0.363844522438039,0.636155477561961,-0.46167891424494584,0.7308394571224729,0.03199363246541198,0.011549156038916403,0.8333333333333333,0.5776664804479401,1.0152765788384785,0.6231092629806968,0.7802457385239738,0.3428448095036558,0.9904146073623412,0.09800125279963177,0.1006570625712768,1.7200296504846926,2
astro,astro::wired_astro_12,wired_astro_12,child,expert,3,Middle,2.9657093278652917,1.1015207751470177,0.3719325305203537,0.6280674694796464,-0.5282343165432944,0.7641171582716473,0.0799606202209007,0.026376784230920592,0.6666666666666666,0.5166215493628975,1.0049423835646127,0.6153840872065969,0.7845129629888296,0.3392346280733046,0.9885697759550971,0.1165400565045024,0.11869532594121016,1.7659668055524824,4
astro,astro::wired_astro_12,wired_astro_12,child,expert,5,Beginning,5.0934772709127385,1.337419144557033,0.26257487241468946,0.7374251275853105,-0.37015579388181846,0.6850778969409093,0.019222619563096455,0.0037739678692336265,0.8,0.622752582235174,1.1160788891225677,0.7200097687711696,0.6842634127165771,0.2191192440371034,1.0186954541825477,0.1898235293809035,0.1863398217804235,1.6351933214958871,1
astro,astro::wired_astro_12,wired_astro_12,child,expert,5,End,4.966678817332159,1.0699267686344838,0.21542097002543698,0.784579029974563,-0.4827205465775252,0.7413602732887626,0.17851699919956876,0.03594293204074323,0.6,0.5889331885996097,1.037550617138788,0.672381458817186,0.7393516726802161,0.2089022977523854,0.9933357634664318,0.13120240330915955,0.13208263321890687,1.7701526561701275,1
astro,astro::wired_astro_12,wired_astro_12,child,expert,5,Middle,4.952620021563375,1.1517376360821248,0.23269149344295392,0.7673085065570461,-0.5000119017953207,0.7500059508976603,0.13562423721142955,0.02750266705528354,0.6,0.5216001791618217,1.0491288352695674,0.6780896756289381,0.7310902005664197,0.21195889147452102,0.9905240043126748,0.11734827505792492,0.11834366175259295,1.733557403014299,4
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,Beginning,3.4401865407365997,1.285534695007373,0.3739457975745519,0.6260542024254482,-0.4631954109575616,0.7315977054787809,0.09204992486265445,0.027209452573833656,0.6666666666666666,0.5173657319325423,1.18448337387529,0.724874650011876,0.6788184221309614,0.34437707673647294,1.1467288469122,0.11472698661966295,0.09848046520480137,1.718172029844647,6
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,End,3.231172615543391,1.1102362309612217,0.34399829978009105,0.6560017002199089,-0.46006789947123067,0.7300339497356153,0.18920067171875635,0.05826830575443514,0.7222222222222222,0.5010735988481289,1.0848252768826718,0.6641181999178635,0.7398536756130505,0.33626109789869485,1.0770575385144636,0.07283327899330849,0.06726561408338423,1.705525985289625,6
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,Middle,3.139273133250448,1.1903402182525917,0.37914450389136056,0.6208554961086394,-0.4025928660366569,0.7012964330183284,0.10001072370151684,0.03138747503469329,0.75,0.514444459370388,1.1038925838246771,0.6764625968595709,0.73035403597413,0.3515752434445845,1.0464243777501494,0.10747083903057551,0.1025072514683576,1.675070027631325,8
astro,astro::wired_astro_12,wired_astro_12,child,joint,5,Beginning,5.690780016001298,1.335825911438152,0.23476060232019663,0.7652393976798033,-0.46433306801706886,0.7321665340085344,0.1771347568275969,0.03156590647244857,0.6799999999999999,0.5395503424266689,1.2075048060067757,0.7804344389955981,0.6162369622580316,0.21216566596782943,1.1381560032002596,0.1242467764508715,0.1087061752154502,1.719025852651526,5
