video_uid,conversation_uid,conversation_id,level_label,stage,trajectory_type,n_turns,maximum_lag,recurrence_threshold,mean_pairwise_distance,mean_adjacent_distance,temporal_locality_observed,temporal_locality_null_mean,temporal_locality_null_sd,temporal_locality_z,temporal_locality_p_perm,lag_growth_slope_observed,lag_growth_slope_null_mean,lag_growth_slope_null_sd,lag_growth_slope_z,lag_growth_slope_p_perm,lag_contrast_observed,lag_contrast_null_mean,lag_contrast_null_sd,lag_contrast_z,lag_contrast_p_perm,recurrence_determinism_observed,recurrence_determinism_null_mean,recurrence_determinism_null_sd,recurrence_determinism_z,recurrence_determinism_p_perm
astro,astro::wired_astro_12,wired_astro_12,child,Beginning,joint,8,3,1.0136925769973077,1.2380042415038963,1.1090161514633534,0.10419034581323516,0.0025572367199373273,0.044972651896876846,2.259886949214036,0.015968063872255488,0.22728940524003172,-0.006546335825932475,0.13326181675581006,1.754709238989639,0.031936127744510975,0.16174816488804344,-0.006195079363867068,0.09387290256821573,1.7890492320706628,0.023952095808383235,0.0,0.0,0.0,,1.0
astro,astro::wired_astro_12,wired_astro_12,child,End,joint,8,3,0.943587837904746,1.1479372777111656,1.112405731779598,0.030952515108153777,-0.007002858034947717,0.02147458284823351,1.7674556666055885,0.03792415169660679,0.005519951678284588,-0.0007026786234189266,0.05707629496090483,0.10902302446165765,0.43912175648702595,0.007068410599626707,0.0012726898972615264,0.03968714014996134,0.14603523157540557,0.4251497005988024,0.6666666666666666,0.18666666666666665,0.3334001269084619,1.4397115095633677,0.249500998003992
astro,astro::wired_astro_15,wired_astro_15,graduate,Beginning,joint,10,3,0.9468161318022332,1.1856441363725958,1.0775173578109736,0.09119665441304281,0.011399751964395967,0.031042339604731156,2.5705827416592344,0.003992015968063872,0.08873056277209702,0.010118734374029313,0.08557408278956793,0.9186406191624531,0.16167664670658682,0.06041911089469332,0.004477370528342325,0.059961046125703646,0.93296805144249,0.16167664670658682,0.5,0.08499999999999999,0.206624588989024,2.0084734446685095,0.1497005988023952
astro,astro::wired_astro_15,wired_astro_15,graduate,End,joint,10,3,0.9711143738788641,1.1272008278322532,1.0999477362843793,0.024177671693415115,0.014296529905609165,0.021491933183923454,0.45976049261112123,0.32934131736526945,0.06717840987067021,0.006898305382869994,0.056205232375360896,1.0724998712793448,0.14770459081836326,0.04524773222454026,0.001077448179172897,0.03930699434098547,1.1237258097679308,0.1437125748502994,0.6666666666666666,0.08393333333333332,0.1962850140091195,2.968812144294721,0.04590818363273453
astro,astro::wired_astro_15,wired_astro_15,graduate,Middle,joint,9,3,0.9902898681445718,1.1302309483662436,1.0488783988096442,0.07197869574726745,0.025775126988854445,0.034847102109463755,1.3258941479057758,0.08982035928143713,0.15744865791934973,0.012603869704279479,0.10012145909994424,1.4466907445933426,0.08982035928143713,0.10332646480925822,0.0021311131949977033,0.0704739959266423,1.435924702206423,0.08982035928143713,0.0,0.22085889570552147,0.349611140141548,-0.6317272831068877,1.0
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Beginning,joint,17,3,0.9472152397397209,1.2095900120322047,1.1038484099875285,0.08741937432752289,-0.010602857320159292,0.02406455902626274,4.073302633167144,0.001996007984031936,0.11311084966964702,-0.003934536602177887,0.0573836072759394,2.0397007408229166,0.03592814371257485,0.08500461216758093,-0.0007067502739354032,0.040037856993689815,2.140757994490687,0.023952095808383235,0.0,0.10168628038628039,0.12086244502806386,-0.8413389317307719,1.0
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Beginning,expert,9,3,0.9234283611081079,1.1469173067241205,1.020310600089139,0.11038869663289108,0.0009821798146439126,0.039730344789022605,2.7537268402582784,0.005988023952095809,0.21260994874360079,0.0014418101868567037,0.10010927183097157,2.109376431318856,0.00998003992015968,0.15328626317455352,0.0011404697547211155,0.07051088889973059,2.1577630887080437,0.007984031936127744,0.0,0.089,0.20836466030334094,-0.4271357718263367,1.0
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Beginning,partner,8,3,1.047514543387046,1.2585562388491291,1.1756907783922763,0.06584168263519796,0.0001861917042124357,0.03227912081322855,2.0339925399727354,0.017964071856287425,0.0969056452835641,0.0003092613909489643,0.08263050631826806,1.1690159990131817,0.13373253493013973,0.06822845484461904,0.00018215833276054538,0.058130684543808174,1.1705744916968552,0.12574850299401197,0.0,0.04551539491298527,0.19763573467677245,-0.23029941921902125,1.0
dimension,dimension::wired_dimension_12,wired_dimension_12,child,End,joint,17,3,0.9982911993693162,1.1882617800924364,1.1819646056772983,0.005299484104124175,-0.022007751086289128,0.019000252623817687,1.4372037957107175,0.06986027944111776,0.053343020625409375,-0.0075305447533037875,0.04569430400113802,1.3321915435498723,0.08982035928143713,0.03642238212370652,-0.00027879251799836126,0.03148317899455904,1.1657391602051248,0.12375249500998003,0.3333333333333333,0.18399500499500498,0.13502675865639457,1.105990618632509,0.14770459081836326
dimension,dimension::wired_dimension_12,wired_dimension_12,child,End,expert,8,3,0.9306509286763429,1.1363343151346499,1.1160788117641929,0.01782530290661588,-0.0014007276651685405,0.03201516251526343,0.6005289075955272,0.2714570858283433,-0.08601061942480741,-0.004024441663670387,0.07623567487027673,-1.0754306025446143,0.8502994011976048,-0.06955761941414085,-0.0029092355603840356,0.05336343156656617,-1.2489523611430204,0.8942115768463074,0.0,0.0,0.0,,1.0
dimension,dimension::wired_dimension_12,wired_dimension_12,child,End,partner,9,3,0.9872514912948681,1.1763292154999787,1.2980481665957377,-0.10347354251847296,0.003588896516756469,0.1055693547098507,-1.0141431604795006,0.7644710578842315,-0.5514455983667857,0.010439716528513785,0.2526939162514433,-2.2235806988570124,0.9720558882235529,-0.4062735089736438,0.00779445748130915,0.1775120380724774,-2.3326190772813433,0.9700598802395209,0.0,0.0915,0.20977948310005465,-0.4361723017324765,1.0
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Middle,joint,16,3,0.9570461052273954,1.1789691893833067,1.1368997842593638,0.03568320996238128,0.0046110884853486555,0.029694216796235025,1.0464031326454215,0.16367265469061876,0.08921364271105754,0.0037840022075496605,0.0683519215696829,1.2498498731511845,0.1157684630738523,0.06053028792185622,0.0019713116879579227,0.047829978098544786,1.2243153470245878,0.1157684630738523,0.2222222222222222,0.14615223665223664,0.14753260547456282,0.5156147369952153,0.26746506986027946
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Middle,expert,8,3,0.9781479174173845,1.159229642839889,1.1448124806067177,0.012436847454876943,0.0018178061086547292,0.02914326947211219,0.36437371436254945,0.34331337325349304,0.016317676842250863,-0.0008942867773521512,0.07197484433682491,0.23913860152382097,0.405189620758483,0.0072910095762942495,-0.0011257884050577544,0.050531780168062104,0.1665644462427176,0.4431137724550898,0.0,0.11133603238866396,0.26850644257907647,-0.4146493891142852,1.0
dimension,dimension::wired_dimension_12,wired_dimension_12,child,Middle,partner,8,3,0.9921465034034742,1.2067182841870527,1.2399621179296687,-0.02754896000023055,-0.004334738167344857,0.07532671664574733,-0.30818045530989274,0.5149700598802395,0.0815186997629313,-0.014471668899892286,0.19444623671089864,0.4936602028741828,0.3073852295409182,0.054242662684328646,-0.01022122265562172,0.1375593609596164,0.46862594366715016,0.313373253493014,0.0,0.11043771043771042,0.2664576806194542,-0.41446623036336416,1.0
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,Beginning,joint,14,3,0.9564499940920745,1.1766361327529276,1.1566819815480396,0.016958642225444853,-0.03600750122916008,0.020754170913869517,2.552072240053151,0.007984031936127744,0.02500931522031368,-0.014747866142088114,0.052579747310579815,0.7561310846087324,0.23952095808383234,0.034103714463678436,-0.0012432104191955273,0.03659191554964338,0.9659763461937277,0.17564870259481039,0.3333333333333333,0.11535555555555556,0.11716531790481247,1.860429192492504,0.041916167664670656
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,End,joint,14,3,0.8077278056506797,1.1590732446302638,1.1692460225450791,-0.008776648034922285,-0.03779457627947855,0.023098911832611507,1.2562465476658589,0.09181636726546906,0.0005883315131176173,-0.012822834431514005,0.049681806889398196,0.269941187414693,0.3852295409181637,0.005290448911272172,0.0003396523588241802,0.03442234317890713,0.14382508845248151,0.4550898203592814,0.0,0.0,0.0,,1.0
dimension,dimension::wired_dimension_13,wired_dimension_13,teenager,Middle,joint,14,3,0.9748118868980895,1.2094610147859715,1.2754566690950015,-0.054566169146600174,-0.04446525107152932,0.016606905265527903,-0.608236026735097,0.716566866267465,-0.030582811057759247,-0.017986817353819396,0.04198107854457909,-0.3000397831743258,0.5988023952095808,0.0016487582112063581,-0.0016107984018421694,0.029056408972657745,0.112180297851527,0.45109780439121755,0.2,0.3724,0.20366934576614523,-0.8464700436458958,0.9041916167664671
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Beginning,joint,15,3,0.9699289499044516,1.1996795090196095,1.178313371487253,0.01780987119619737,-0.029725353775165664,0.019556165078539613,2.4307027876097678,0.011976047904191617,0.02167875853468694,-0.00929658984635458,0.04774791207748763,0.6487267617225486,0.23952095808383234,0.02016319481061668,0.001255427879591188,0.033422018346861995,0.5657278604420595,0.27345309381237526,0.4444444444444444,0.22346161616161617,0.16507162605645645,1.3387087385160277,0.12574850299401197
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Beginning,expert,8,3,0.9021961766863491,1.1700407859624729,1.0830178073509777,0.07437602146485023,0.0017757021718997107,0.03644909334687128,1.9918278515748704,0.027944111776447105,0.12568595762211207,0.006268399112710152,0.08775662696184185,1.3607810901999096,0.09381237524950099,0.09433976052111814,0.004369368165642498,0.06120647938937587,1.4699488232791995,0.0658682634730539,1.0,0.15095628415300544,0.31932079970607546,2.6589051406250768,0.0736196319018405
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,End,joint,15,3,1.0357193720837827,1.20351867680266,1.1958005936082738,0.006412931800020338,-0.0372487793538449,0.017306845744857458,2.5228000409513585,0.005988023952095809,0.07534769183879134,-0.015401813774382564,0.04135719775474644,2.1942856513473243,0.00998003992015968,0.06387388507927283,-0.001895424970701985,0.02873580295490275,2.288758388035703,0.007984031936127744,0.2222222222222222,0.26218989898989903,0.19820091005090257,-0.20165233730466825,0.46506986027944114
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,End,expert,8,3,0.940335255125521,1.1738447827103808,1.159212290063681,0.012465440799518501,-0.00111458845233966,0.034560507516399074,0.39293489094204975,0.3213572854291417,0.029080632928171205,0.0010069120309635124,0.08495197596693632,0.33046577878464073,0.3812375249500998,0.026469690669805312,0.0007603998643525207,0.05977551553715034,0.4300973496326356,0.3473053892215569,0.0,0.060851926977687626,0.22769512995068106,-0.26725177209924605,1.0
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Middle,joint,15,3,0.904247882934329,1.1633911376022503,1.2194137056507188,-0.048154542559032176,-0.07244175873458826,0.012259026845231403,1.9811699967851433,0.013972055888223553,-0.007223924365231628,-0.0261402888442567,0.027409212146160024,0.6901462317907309,0.25948103792415167,0.019924757293199757,0.00028154241451560535,0.01830368430088169,1.0731836583161531,0.15768463073852296,0.6363636363636364,0.2949090909090909,0.185168262168306,1.8440230601947611,0.06786427145708583
dimension,dimension::wired_dimension_14,wired_dimension_14,undergraduate,Middle,partner,8,3,0.9131097433404537,1.157443571993149,1.0317690849420995,0.10857936411935376,-0.0016636255980276677,0.06424393410764921,1.716006207413368,0.08982035928143713,0.22030507365179247,-0.009244689275879082,0.16801160444780047,1.3662732623864107,0.09580838323353294,0.15533017346231426,-0.00624063204353246,0.11857723003413537,1.3625786793917736,0.07984031936127745,0.0,0.0,0.0,,1.0
dimension,dimension::wired_dimension_15,wired_dimension_15,graduate,Beginning,joint,12,3,1.0054984546792909,1.222607056023836,1.2281104051575094,-0.0045013228956580775,0.007142848335991236,0.022045556705227582,-0.5281867628631113,0.7085828343313373,0.010444387028553439,0.0038288916204396724,0.055314368499237675,0.11959813675184484,0.43912175648702595,0.009109333171964273,0.001184120258759153,0.03866105550057708,0.20499215064334764,0.4031936127744511,0.0,0.05904761904761904,0.12962899127111502,-0.4555124472435551,1.0
