video_uid,conversation_uid,conversation_id,level_label,trajectory_type,horizon,local_start,local_end,midpoint_time,stage,n_trajectory_turns,path_length,direct_displacement,route_efficiency,excess_path_fraction,directional_persistence,turning_cost,backward_movement,backtracking_fraction,monotonic_progress_fraction,future_alignment,pairwise_coverage,centroid_dispersion,resultant_length,coverage_per_path,mean_step_distance,step_distance_sd,step_distance_cv,normalized_acceleration
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,0,3,0.06818181818181818,Beginning,23,3.387820610768889,1.347202856898115,0.3976606236516042,0.6023393763483957,-0.3958872700830393,0.6979436350415197,0.09500463479732213,0.02804299451255779,0.3333333333333333,0.3423093007236465,1.2127333216703595,0.7432216940560346,0.6560726672008909,0.35796857655787195,1.129273536922963,0.2772167071850537,0.24548233720274004,1.7055504598888094
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,1,4,0.11363636363636363,Beginning,23,3.770945669458512,1.287963974963114,0.3415493321461878,0.6584506678538122,-0.48020737869843355,0.7401036893492168,0.06255446981670576,0.016588536483923475,0.6666666666666666,0.5154769808193848,1.293207299166066,0.7936704889611916,0.6074247568871557,0.3429397855397274,1.256981889819504,0.1314008008887701,0.10453674945757457,1.7875488843170382
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,2,5,0.1590909090909091,Beginning,23,3.6578948147099073,1.4106797831203601,0.3856534576793826,0.6143465423206174,-0.5463594948398889,0.7731797474199444,0.09080092955247066,0.024823275176564012,0.6666666666666666,0.6313921501105489,1.2320944238895244,0.75419129803318,0.6471107740169805,0.3368315619505414,1.2192982715699692,0.16158520605237253,0.13252311581178192,1.7327859244731925
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,3,6,0.20454545454545453,Beginning,23,3.3443631255043136,1.3562615709067405,0.40553657602663074,0.5944634239733693,-0.43989265427312174,0.7199463271365609,0.0,0.0,1.0,0.5298773062086211,1.1676629988251002,0.7133393192895283,0.6940217631917746,0.3491436052264876,1.114787708501438,0.0369047176365153,0.033104704469808656,1.6754938187014936
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,4,7,0.25,Beginning,23,3.2238795567396434,1.144197142362785,0.3549131170148082,0.6450868829851918,-0.46681290832839545,0.7334064541641977,0.1495208701617745,0.04637917376571821,0.6666666666666666,0.5850018076578638,1.096894158120569,0.6703773216146124,0.7361480763650547,0.3402404273532706,1.0746265189132145,0.040570661156834824,0.03775326631420238,1.7295888555310188
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,5,8,0.2954545454545454,Beginning,23,3.2562154672383326,1.1669028417931224,0.35836167892869764,0.6416383210713024,-0.4500127595224909,0.7250063797612455,0.15441864484765366,0.04742273550423845,0.6666666666666666,0.500136846075189,1.104308041580121,0.6744477781167089,0.7321324951239123,0.33913850379093885,1.0854051557461109,0.0406838267984312,0.03748261797270072,1.6780642361563305
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,6,9,0.3409090909090909,Middle,23,3.4041432798030513,1.2408457730059341,0.36451044242700736,0.6354895575729926,-0.41109315698391286,0.7055465784919565,0.19330946129864035,0.05678652318941886,0.6666666666666666,0.48062021470789507,1.174934115534281,0.7180797155151619,0.6912759385955736,0.34514825580498404,1.1347144266010172,0.10385215562595286,0.0915227243008067,1.6691372556039972
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,7,10,0.3863636363636364,Middle,23,3.1947904987482603,1.2039902403392364,0.3768604673173304,0.6231395326826696,-0.39634040606382964,0.6981702030319148,0.1688387639626252,0.05284814889388751,0.6666666666666666,0.550877402041554,1.1424839828575466,0.7034227124503433,0.7064419100858816,0.3576084201155535,1.0649301662494202,0.18710983260908168,0.17570150469872048,1.7700143802360897
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,8,11,0.4318181818181818,Middle,23,3.1240804514217944,1.2782533092859105,0.4091614569990242,0.5908385430009758,-0.42006250045289195,0.710031250226446,0.22041483662544148,0.0705535084812329,0.6666666666666666,0.5367915817703601,1.0967747036393127,0.6705742550318027,0.727814621106603,0.35107120981476697,1.0413601504739314,0.18608540060811893,0.17869456645083834,1.5968668930002927
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,9,12,0.4772727272727273,Middle,23,2.9084817716844356,1.100716207358797,0.37845044038949627,0.6215495596105037,-0.49992829945015815,0.7499641497250791,0.08019193779513722,0.0275717518933235,0.6666666666666666,0.38918310590358585,0.9992652635039128,0.6115145025153041,0.7862840637162908,0.3435693746587218,0.9694939238948118,0.10557066406587287,0.10889254843574149,1.7515073142616722
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,10,13,0.5227272727272727,Middle,23,3.0296063477778117,1.0555460452132854,0.3484102962708402,0.6515897037291598,-0.4174375452330684,0.7087187726165343,0.0,0.0,1.0,0.5768866832688755,1.0496279987768162,0.6432027278598679,0.764851698974533,0.34645689184890593,1.0098687825926038,0.049609846089931436,0.04912504173321376,1.7045547377547932
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,11,14,0.5681818181818181,Middle,23,3.11273716218238,1.099194292248544,0.3531278855160019,0.6468721144839982,-0.40328149987809303,0.7016407499390465,0.09459571508446873,0.03038988200923025,0.6666666666666666,0.505253860688862,1.0729048193799675,0.6570886747727025,0.7524065632952136,0.3446821120700535,1.0375790540607934,0.06989513684551059,0.06736367370944954,1.6377979690736106
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,12,15,0.6136363636363635,Middle,23,3.0403361589063818,1.223838619871102,0.4025339817394799,0.59746601826052,-0.3597929331520092,0.6798964665760046,0.0,0.0,1.0,0.5556972440358291,1.1037870433185695,0.6784131823635395,0.7341854051305706,0.3630476978952239,1.0134453863021273,0.07013909839192184,0.06920856253324739,1.6900921431630322
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,13,16,0.6590909090909092,Middle,23,3.3000093954794725,1.320337258697925,0.40010106047170435,0.5998989395282956,-0.31280658707929204,0.656403293539646,0.04273507484582173,0.012949985810453297,0.6666666666666666,0.5202455825461421,1.1913627435870107,0.7294050043678448,0.6795720868883733,0.3610179853484667,1.100003131826491,0.08750457800821394,0.07954938988484306,1.5805895279571125
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,14,17,0.7045454545454546,End,23,3.24800708008501,1.0588182667619412,0.32599013507514546,0.6740098649248545,-0.4364899279277772,0.7182449639638886,0.08328192394940748,0.025640930544778166,0.6666666666666666,0.5552593504393221,1.1072740914838584,0.6773683454477768,0.7302569339819389,0.34090876780197094,1.0826690266950034,0.08913478447028,0.08232874708014529,1.742266032834044
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,15,18,0.75,End,23,3.2073868655339863,1.086801477658732,0.3388432774784074,0.6611567225215926,-0.29642730112099325,0.6482136505604966,0.36268917896131225,0.11307933659600163,0.6666666666666666,0.5561318964170726,1.1195709780542022,0.6829864512494439,0.7205887060639725,0.3490601617425433,1.0691289551779954,0.1042063966062917,0.0974685009713751,1.6057751504867215
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,16,19,0.7954545454545455,End,23,3.038399863764084,1.2775987273416716,0.42048406550378603,0.579515934496214,-0.20792073068429012,0.603960365342145,0.0,0.0,1.0,0.6036535960113765,1.1332097767618505,0.6925432962189164,0.7121344110135157,0.37296268679988276,1.012799954588028,0.046837220590761425,0.04624528306758583,1.5215497772751945
astro,astro::wired_astro_12,wired_astro_12,child,joint,3,17,20,0.8409090909090909,End,23,3.0704781250810216,0.933330785538731,0.3039692020323717,0.6960307979676283,-0.5423906445075324,0.7711953222537662,0.170512698970958,0.055532946995497205,0.6666666666666666,0.4658709505620355,0.9926954463788156,0.6077213648261311,0.7930826773936629,0.32330321400762985,1.0234927083603405,0.058036637955510985,0.05670449577358207,1.7619549682572135
